month,plant,datetime,prev,curr,drop,drop_pct,year,month_str,ptf_tl_mwh,ptf_source,energy_lost_mwh,revenue_loss_tl,balancing_cost_tl,total_loss_tl,tl_usd_rate,total_loss_usd,yekdem_loss_usd
2024-10,EBER RES,2024-10-22 16:00:00+00:00,61.72,0.0,61.72,100.0,2024,2024-10,2800,estimated,61.72,172816.0,25922.399999999998,198738.4,32.5,6115.027692307692,4505.5599999999995
2024-10,EBER RES,2024-10-29 06:00:00+00:00,60.62,0.0,60.62,100.0,2024,2024-10,2800,estimated,60.62,169736.0,25460.399999999998,195196.4,32.5,6006.043076923077,4425.26
2024-10,GÖKTEPE RES,2024-10-31 20:00:00+00:00,53.98,6.16,47.81999999999999,88.58836606150426,2024,2024-10,2800,estimated,47.81999999999999,133895.99999999997,20084.399999999994,153980.39999999997,32.5,4737.858461538461,3490.8599999999997
2024-10,KANGAL RES,2024-10-18 01:00:00+00:00,89.43,0.0,89.43,100.0,2024,2024-10,2800,estimated,89.43,250404.00000000003,37560.600000000006,287964.60000000003,32.5,8860.449230769233,6528.39
2024-10,KIYIKÖY RES,2024-10-10 19:00:00+00:00,70.98,5.91,65.07000000000001,91.67371090448016,2024,2024-10,2800,estimated,65.07000000000001,182196.00000000003,27329.400000000005,209525.40000000002,32.5,6446.935384615385,4750.110000000001
2024-10,KIYIKÖY RES,2024-10-18 03:00:00+00:00,70.13,9.05,61.08,87.0953942677884,2024,2024-10,2800,estimated,61.08,171024.0,25653.6,196677.6,32.5,6051.618461538462,4458.84
2024-10,TAŞPINAR RES(GALATA WİND),2024-10-29 18:00:00+00:00,56.28,0.0,56.28,100.0,2024,2024-10,2800,estimated,56.28,157584.0,23637.6,181221.6,32.5,5576.049230769231,4108.4400000000005
2024-10,İSTANBUL RES,2024-10-06 22:00:00+00:00,60.64,7.75,52.89,87.21965699208444,2024,2024-10,2800,estimated,52.89,148092.0,22213.8,170305.8,32.5,5240.178461538461,3860.9700000000003
2024-11,EVRENCİK RES,2024-11-23 04:00:00+00:00,59.76,4.99,54.77,91.64993306559572,2024,2024-11,2650,estimated,54.77,145140.5,21771.075,166911.575,32.5,5135.74076923077,3998.21
2024-11,KIYIKÖY RES,2024-11-10 20:00:00+00:00,52.56,6.96,45.6,86.7579908675799,2024,2024-11,2650,estimated,45.6,120840.0,18126.0,138966.0,32.5,4275.876923076923,3328.8
2024-11,KIYIKÖY RES,2024-11-11 20:00:00+00:00,55.26,7.76,47.5,85.95729279768368,2024,2024-11,2650,estimated,47.5,125875.0,18881.25,144756.25,32.5,4454.038461538462,3467.5
2024-11,KIYIKÖY RES,2024-11-12 03:00:00+00:00,65.31,8.25,57.06,87.36793752870923,2024,2024-11,2650,estimated,57.06,151209.0,22681.35,173890.35,32.5,5350.472307692308,4165.38
2024-11,KIYIKÖY RES,2024-11-16 19:00:00+00:00,54.17,7.59,46.58,85.9885545504892,2024,2024-11,2650,estimated,46.58,123437.0,18515.55,141952.55,32.5,4367.770769230769,3400.3399999999997
2024-11,KIYIKÖY RES,2024-11-21 13:00:00+00:00,60.27,5.32,54.95,91.17305458768872,2024,2024-11,2650,estimated,54.95,145617.5,21842.625,167460.125,32.5,5152.619230769231,4011.3500000000004
2024-11,KIYIKÖY RES,2024-11-30 12:00:00+00:00,51.79,9.41,42.379999999999995,81.83046920254876,2024,2024-11,2650,estimated,42.379999999999995,112306.99999999999,16846.049999999996,129153.04999999999,32.5,3973.9399999999996,3093.74
2024-11,SİLİVRİ RES,2024-11-24 05:00:00+00:00,55.2,6.11,49.09,88.93115942028984,2024,2024-11,2650,estimated,49.09,130088.50000000001,19513.275,149601.77500000002,32.5,4603.131538461539,3583.57
