plant_id,plant_name,n_events,energy_lost_mwh,total_loss_tl_M,total_loss_usd_K,yekdem_loss_usd_K
15163,SAROS RES,37,3005.7,6.9767336570800005,226.69229515730765,219.4161
15443,EVRENCİK RES,18,1283.0,2.989581186215,134.40625634692427,93.659
10442,YAHYALI RES(BAK),18,980.9,2.913856658735,126.82774557697668,71.6057
16224,GÖKTEPE RES,14,874.95,2.3949032464149997,100.70062497217481,63.87135
16963,İSTANBUL RES,11,738.63,1.8812158209449998,79.68333502245689,53.919990000000006
13604,KOCATEPE RES(İzdem),10,686.24,1.7632667232249999,78.89250657894425,50.095519999999986
12183,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),10,601.29,1.780149884725,78.55201304640423,43.894169999999995
17503,BOZÜYÜK RES,9,535.5,1.6137073723,72.55103745342657,39.0915
760,SOMA RES(SOMA ENR.),3,231.49,0.942494,57.12084848484848,16.89877
12663,ÜÇPINAR RES,10,591.9,1.15909365375,55.79353702863636,43.2087
15983,ANDOZ RES,1,373.85,1.16080425,50.46975,27.291050000000002
16783,ADAPAZARI RES,6,320.5,0.92683702232,47.76808984340327,23.396499999999996
15585,KUŞADASI RES,7,414.21000000000004,1.04025856406,41.677166046936485,30.23733
16043,TAŞPINAR RES(GALATA WİND),10,617.48,1.258028278295,41.185039291575755,45.07604
13163,DENİZLİ RES,7,374.0,0.865867637,40.01087183585858,27.302
16065,ÖMERLİ RES(BETİM),9,512.97,1.1437164413999998,39.83150544890385,37.44681
14884,VİZE-2 RES,5,268.56,0.72301323952,27.88908710869231,19.604879999999998
13923,TATLIPINAR RES,5,313.02,0.54041846891,27.47501695025641,22.85046
15703,GÜNEY-1 RES,5,272.96,0.6790271710400001,26.544125130307695,19.92608
12355,CERİT RES_(PAKMEM),5,265.07,0.48749055197,25.29722644199495,19.35011
12324,EBER RES,5,302.4,0.7703561678899999,23.1537415105,22.075200000000002
16623,ULU RES,4,207.98,0.57513402031,21.27103966592308,15.182540000000001
10584,FATMA RES,2,113.57,0.32710800491,19.824727570303033,8.290610000000001
12164,ARDIÇLI RES(ES-YEL),4,201.56,0.610224024705,18.77612383707692,14.713880000000001
13203,GÜLPINAR RES,5,493.53000000000003,0.6056912000000001,16.966174102564104,36.02769
14843,MUTLU RES 5,2,123.65,0.352014423275,13.564737774242426,9.02645
16243,ATAKALE RES,2,118.97,0.46517269999999994,12.921463888888887,8.684809999999999
16863,ZONGULDAK RES,4,235.93,0.31147736326500003,12.354010075692308,17.22289
15663,SİBELRES RES,2,93.75999999999999,0.25675553659999995,11.814037873939393,6.84448
5611,POYRAZ RES,3,156.67000000000002,0.20170296843999996,10.405514526666666,11.43691
13004,HASANOBA RES,1,50.86,0.16376803022,9.925335164848484,3.7127799999999995
13503,HAVZA RES,1,63.73,0.14474676250000001,8.772531060606061,4.65229
10903,BERGRES RES,3,145.55,0.19960329200000002,7.062402846153846,10.62515
15505,GAZİ-9 RES,1,55.18,0.15229679999999998,6.621599999999999,4.02814
13423,MASLAKTEPE RES(ENİ),2,94.53,0.219308029905,6.40236498352564,6.900690000000001
10062,SARITEPE RES,1,45.0,0.13442994,5.84478,3.285
15383,MERSİNLİ RES,1,46.26,0.06995615301,4.239766849090909,3.37698
15843,TAYAKADIN RES,1,42.4,0.08684156,3.7757199999999997,3.0951999999999997
5003441,OVACIK RES,1,50.6,0.11026946810000002,3.063040780555556,3.6938
10902,AİRRES-4 RES,1,40.97,0.042262603499999996,2.5613699090909092,2.9908099999999997
16545,GEYVE RES,1,52.7,0.0,0.0,3.8471
17909,ATARES-2 RES,1,66.87,0.0,0.0,4.8815100000000005
17963,ATARES-1 RES,1,56.09,0.0,0.0,4.09457
