Metric,Value,Notes
Total cutoff events,78,
Total energy lost (MWh),4932,1 hour × MW drop per event
Average loss per event (MWh),63.2,
Total revenue loss (TL million),13.76,Based on estimated PTF rates
Balancing cost premium (TL million),2.06,TEIAS reserve: +15.0% of revenue loss
Total economic loss (TL million),15.82,
Total economic loss (USD thousand),458.1,
YEKDEM tariff basis loss (USD thousand),360.0,YEKDEM rate: 73.0 USD/MWh
Study period,2024-10-06 22:00:00+00:00 to 2025-04-30 15:00:00+00:00,
Wind farms affected,31,
