,0
is_winter,0.06592508
gen_mean,0.05423055
gen_max,0.05133893
gen_delta_max_rise,0.04835446
gen_delta_max_drop,0.046157178
month_end,0.046118245
gen_last_6h_std,0.044834968
high_gen_frac,0.044775423
hour_end,0.044495545
gen_last,0.044212412
gen_min,0.043893054
gen_trend_r2,0.04353185
gen_cv,0.042986672
gen_std,0.041959044
gen_delta_std,0.041895844
above50_streak_max,0.041094054
gen_last_6h_mean,0.04074556
gen_delta_mean,0.038084406
gen_last_vs_mean,0.03730204
gen_trend,0.035909962
gen_first,0.03509516
plant_hist_rate,0.034732573
is_spring,0.032327
