province,plant_id,plant_name,year_month,total_generation_mwh,mean_hourly_mwh,min_hourly_mwh,max_hourly_mwh,missing_hour_count
Balikesir,12345,ALİBEY RES,2025-09,17746.27,24.647597222222224,0.0,41.78,0
Balikesir,12345,ALİBEY RES,2025-10,13032.22,17.516424731182795,0.0,41.79,0
Balikesir,12345,ALİBEY RES,2025-11,13907.2,19.315555555555555,0.0,41.79,0
Balikesir,12345,ALİBEY RES,2025-12,13783.26,18.525887096774195,0.0,44.03,0
Balikesir,12345,ALİBEY RES,2026-01,15764.88,21.189354838709676,0.0,44.37,0
Balikesir,12345,ALİBEY RES,2026-02,3514.95,14.645624999999999,0.0,40.81,0
Balikesir,12082,KALFAKÖY RES,2025-09,3104.72,4.312111111111111,0.0,8.71,0
Balikesir,12082,KALFAKÖY RES,2025-10,1538.04,2.067258064516129,0.0,10.0,0
Balikesir,12082,KALFAKÖY RES,2025-11,2561.73,3.5579583333333336,0.0,10.0,0
Balikesir,12082,KALFAKÖY RES,2025-12,1786.18,2.400779569892473,0.0,10.2,0
Balikesir,12082,KALFAKÖY RES,2026-01,3492.56,4.694301075268817,0.0,10.2,0
Balikesir,12082,KALFAKÖY RES,2026-02,947.03,3.945958333333333,0.0,10.2,0
Balikesir,15743,PAZARKÖY RES,2025-09,19495.17,27.076624999999996,0.0,43.8,0
Balikesir,15743,PAZARKÖY RES,2025-10,12564.66,16.88798387096774,0.0,43.5,0
Balikesir,15743,PAZARKÖY RES,2025-11,13637.14,18.940472222222223,0.0,43.54,0
Balikesir,15743,PAZARKÖY RES,2025-12,10857.96,14.594032258064514,0.0,43.92,0
Balikesir,15743,PAZARKÖY RES,2026-01,17800.0,23.9247311827957,0.0,57.45,0
Balikesir,15743,PAZARKÖY RES,2026-02,4994.72,20.811333333333334,0.0,49.0,0
Balikesir,5611,POYRAZ RES,2026-01,25119.61,33.76291666666667,0.0,84.76,0
Balikesir,5611,POYRAZ RES,2026-02,4998.38,20.826583333333335,0.0,81.97,0
Balikesir,13923,TATLIPINAR RES,2025-09,48876.7,67.88430555555556,0.0,133.36,0
Balikesir,13923,TATLIPINAR RES,2025-10,27448.1,36.89260752688172,0.0,169.82,0
Balikesir,13923,TATLIPINAR RES,2025-11,31912.32,44.32266666666666,0.0,119.8,0
Balikesir,13923,TATLIPINAR RES,2025-12,23330.16,31.357741935483872,0.0,148.91,0
Balikesir,13923,TATLIPINAR RES,2026-01,58674.46,78.86352150537634,0.0,159.49,0
Balikesir,13923,TATLIPINAR RES,2026-02,11951.51,49.797958333333334,0.0,149.01,0
Canakkale,15505,GAZİ-9 RES,2025-09,25628.37,35.59495833333333,0.0,61.35,0
Canakkale,15505,GAZİ-9 RES,2025-10,9152.15,12.30127688172043,0.0,61.35,0
Canakkale,15505,GAZİ-9 RES,2025-11,15139.08,21.0265,0.0,61.35,0
Canakkale,15505,GAZİ-9 RES,2025-12,16462.48,22.126989247311826,0.0,76.21,0
Canakkale,15505,GAZİ-9 RES,2026-01,22717.67,30.53450268817204,0.0,70.92,0
Canakkale,15505,GAZİ-9 RES,2026-02,6670.35,27.793125,0.0,70.83,0
Canakkale,15623,GELİBOLU RES,2025-09,2929.86,4.074909596662031,0.0,8.77,1
Canakkale,17827,GELİBOLU RES,2025-09,10284.8,14.284444444444443,0.0,29.09,0
Canakkale,15623,GELİBOLU RES,2025-10,3705.41,4.980389784946237,0.0,21.25,0
Canakkale,17827,GELİBOLU RES,2025-10,5364.87,7.299142857142857,0.0,30.08,9
Canakkale,15623,GELİBOLU RES,2025-11,6384.09,8.866791666666668,0.0,21.35,0
Canakkale,17827,GELİBOLU RES,2025-11,7961.95,11.058263888888888,0.0,30.0,0
Canakkale,15623,GELİBOLU RES,2025-12,3371.52,4.531612903225806,0.0,24.45,0
Canakkale,17827,GELİBOLU RES,2025-12,7537.37,10.130873655913978,0.0,30.11,0
Canakkale,15623,GELİBOLU RES,2026-01,10246.92,13.772741935483872,0.0,28.12,0
Canakkale,17827,GELİBOLU RES,2026-01,9922.61,13.336841397849463,0.0,30.4,0
Canakkale,15623,GELİBOLU RES,2026-02,1717.82,7.157583333333333,0.0,25.23,0
Canakkale,17827,GELİBOLU RES,2026-02,2456.54,10.235583333333333,0.0,26.67,0
Canakkale,13004,HASANOBA RES,2025-09,11818.18,16.41413888888889,0.0,46.98,0
Canakkale,13004,HASANOBA RES,2025-10,7449.01,10.012110215053763,0.0,49.58,0
Canakkale,13004,HASANOBA RES,2025-11,18833.18,26.157194444444446,0.0,76.56,0
Canakkale,13004,HASANOBA RES,2025-12,12663.8,17.021236559139783,0.0,77.86,0
Canakkale,13004,HASANOBA RES,2026-01,29079.88,39.618365122615806,0.0,80.64,10
Canakkale,13004,HASANOBA RES,2026-02,6715.97,27.983208333333334,0.0,78.23,0
Canakkale,17886,ILGARDERE RES,2025-09,4014.75,5.576041666666667,0.0,10.01,0
Canakkale,17886,ILGARDERE RES,2025-10,1710.53,2.299099462365591,0.0,10.0,0
Canakkale,17886,ILGARDERE RES,2025-11,3298.49,4.581236111111111,0.0,10.01,0
Canakkale,17886,ILGARDERE RES,2025-12,2494.83,3.353266129032258,0.0,10.7,0
Canakkale,17886,ILGARDERE RES,2026-01,5006.44,6.729086021505376,0.0,10.7,0
Canakkale,17886,ILGARDERE RES,2026-02,888.65,3.7027083333333333,0.0,10.7,0
Canakkale,15163,SAROS RES,2025-09,61366.89,85.23179166666667,0.0,141.6,0
Canakkale,15163,SAROS RES,2025-10,31162.55,41.88514784946236,0.0,140.2,0
Canakkale,15163,SAROS RES,2025-11,44166.92,61.34294444444444,0.0,139.3,0
Canakkale,15163,SAROS RES,2025-12,39702.86,53.36405913978495,0.0,140.95,0
Canakkale,15163,SAROS RES,2026-01,51140.19,68.73681451612903,0.0,167.7,0
Canakkale,15163,SAROS RES,2026-02,13773.95,57.39145833333334,0.0,140.87,0
Canakkale,12663,ÜÇPINAR RES,2025-09,38072.95,52.87909722222222,0.0,117.38,0
Canakkale,12663,ÜÇPINAR RES,2025-10,21013.1,28.243413978494623,0.0,112.73,0
Canakkale,12663,ÜÇPINAR RES,2025-11,30420.07,42.426875871687585,0.0,108.05,3
Canakkale,12663,ÜÇPINAR RES,2025-12,24293.38,32.65239247311828,0.0,108.25,0
Canakkale,12663,ÜÇPINAR RES,2026-01,40891.62,54.961854838709684,0.0,122.77,0
Canakkale,12663,ÜÇPINAR RES,2026-02,9878.68,41.16116666666667,0.0,120.13,0
Tekirdag,10942,BARBAROS RES,2025-09,2637.99,3.6638749999999995,0.0,9.73,0
Tekirdag,10942,BARBAROS RES,2025-10,2528.2,3.3981182795698923,0.0,11.98,0
Tekirdag,10942,BARBAROS RES,2025-11,3360.73,4.667680555555555,0.0,11.98,0
Tekirdag,10942,BARBAROS RES,2025-12,3159.73,4.246948924731183,0.0,12.56,0
Tekirdag,10942,BARBAROS RES,2026-01,4535.11,6.0955779569892465,0.0,12.49,0
Tekirdag,10942,BARBAROS RES,2026-02,851.62,3.5484166666666668,0.0,9.63,0
Tekirdag,14983,DİKİLİ RES,2025-09,755.98,1.0499722222222223,0.0,3.63,0
Tekirdag,14983,DİKİLİ RES,2025-10,892.88,1.2001075268817205,0.0,3.65,0
Tekirdag,14983,DİKİLİ RES,2025-11,592.24,0.8225555555555556,0.0,3.63,0
Tekirdag,14983,DİKİLİ RES,2025-12,809.15,1.0890309555854643,0.0,3.63,1
Tekirdag,14983,DİKİLİ RES,2026-01,1614.83,2.1881165311653117,0.0,3.64,6
Tekirdag,14983,DİKİLİ RES,2026-02,379.57,1.5815416666666666,0.0,3.63,0
Tekirdag,13483,KIZILCATERZİ RES,2025-09,2991.2,4.154444444444445,0.0,12.0,0
Tekirdag,13483,KIZILCATERZİ RES,2025-10,2306.25,3.099798387096774,0.0,12.0,0
Tekirdag,13483,KIZILCATERZİ RES,2025-11,2374.8,3.298333333333334,0.0,12.0,0
Tekirdag,13483,KIZILCATERZİ RES,2025-12,3109.3,4.179166666666667,0.0,13.6,0
Tekirdag,13483,KIZILCATERZİ RES,2026-01,4913.9,6.604704301075269,0.0,13.6,0
Tekirdag,13483,KIZILCATERZİ RES,2026-02,1427.7,5.94875,0.0,13.6,0
