CASE_ID,CASE_01
SANTRAL,KANGAL RES
ACIKLAMA,14.12.2024 tarihinde saat 00:00'de 121 MW uretimden 0 MW'a ani dusus

# OLAY BILGILERI
Tarih,2024-12-14
Saat,00:00
Onceki_Uretim_MW,120.7
Sonraki_Uretim_MW,0.0
Kayip_MW,120.7
Dusus_Yuzde,100.0%

# SANTRAL BILGILERI (Kaynak: enerjiatlasi.com)
Kurulu_Guc,128 MW (151.4 MW)
Il,Sivas
Isletmeci_Firma,Ece Tur İnşaat
Turbin_Adedi,63
Yillik_Uretim,~380 GWh
Detay_URL,https://www.enerjiatlasi.com/ruzgar/kangal-ruzgar-santrali-res.html


# EN YAKIN 3 METEOROLOJI ISTASYONU
# Kaynak: https://teknolojikkazalar.org/list/weather_station
Istasyon_No,Istasyon_Adi,Kod,Enlem,Boylam,Tip,Organizasyon
17090,Sivas Bölge,SIVS,39° 45' N,37° 01' E,B, S,DMİ
17874,Kangal,KNGL,39° 14' N,37° 23' E,B,DMİ
17802,Şarkışla,SRKS,39° 21' N,36° 24' E,B,DMİ

# GERCEK ZAMANLI URETIM (Olay oncesi/sonrasi 72 saat)
Tarih_Saat,Toplam_MWh,Ruzgar_MWh
2024-12-11T00:00:00+03:00,1.5,1.5
2024-12-11T01:00:00+03:00,2.8,2.8
2024-12-11T02:00:00+03:00,5.7,5.7
2024-12-11T03:00:00+03:00,7.3,7.3
2024-12-11T04:00:00+03:00,6.7,6.7
2024-12-11T05:00:00+03:00,2,2
2024-12-11T06:00:00+03:00,2.1,2.1
2024-12-11T07:00:00+03:00,2.04,2.04
2024-12-11T08:00:00+03:00,4.45,4.45
2024-12-11T09:00:00+03:00,14.61,14.61
2024-12-11T10:00:00+03:00,25.65,25.65
2024-12-11T11:00:00+03:00,19.6,19.6
2024-12-11T12:00:00+03:00,29,29
2024-12-11T13:00:00+03:00,29.45,29.45
2024-12-11T14:00:00+03:00,16.75,16.75
2024-12-11T15:00:00+03:00,11.55,11.55
2024-12-11T16:00:00+03:00,4.95,4.95
2024-12-11T17:00:00+03:00,5.1,5.1
2024-12-11T18:00:00+03:00,8.5,8.5
2024-12-11T19:00:00+03:00,5.25,5.25
2024-12-11T20:00:00+03:00,4.5,4.5
2024-12-11T21:00:00+03:00,9.7,9.7
2024-12-11T22:00:00+03:00,3.4,3.4
2024-12-11T23:00:00+03:00,4.2,4.2
2024-12-12T00:00:00+03:00,8.15,8.15
2024-12-12T01:00:00+03:00,7.5,7.5
