CASE_ID,CASE_02
SANTRAL,GÜLPINAR RES
ACIKLAMA,27.03.2025 tarihinde saat 08:00'de 118 MW uretimden 9 MW'a ani dusus

# OLAY BILGILERI
Tarih,2025-03-27
Saat,08:00
Onceki_Uretim_MW,118.2
Sonraki_Uretim_MW,9.0
Kayip_MW,109.1
Dusus_Yuzde,92.3%

# SANTRAL BILGILERI (Kaynak: enerjiatlasi.com)
Kurulu_Guc,149 MW (165.56 MW)
Il,Çanakkale
Isletmeci_Firma,Yıldızlar Enerji
Turbin_Adedi,45
Yillik_Uretim,~420 GWh
Detay_URL,https://www.enerjiatlasi.com/ruzgar/gulpinar-res.html


# EN YAKIN 3 METEOROLOJI ISTASYONU
# Kaynak: https://teknolojikkazalar.org/list/weather_station
Istasyon_No,Istasyon_Adi,Kod,Enlem,Boylam,Tip,Organizasyon
17112,Çanakkale,CNKL,40° 08' N,26° 24' E,B, S,DMİ
17110,Gökçeada,GKCD,40° 12' N,25° 54' E,B, S,DMİ
17111,Bozcaada,BZCD,39° 50' N,26° 04' E,B,DMİ

# GERCEK ZAMANLI URETIM (Olay oncesi/sonrasi 72 saat)
Tarih_Saat,Toplam_MWh,Ruzgar_MWh
2025-03-24T00:00:00+03:00,147.69,147.69
2025-03-24T01:00:00+03:00,166.15,166.15
2025-03-24T02:00:00+03:00,166.22,166.22
2025-03-24T03:00:00+03:00,166.19,166.19
2025-03-24T04:00:00+03:00,166.28,166.28
2025-03-24T05:00:00+03:00,165.99,165.99
2025-03-24T06:00:00+03:00,166.48,166.48
2025-03-24T07:00:00+03:00,166.13,166.13
2025-03-24T08:00:00+03:00,166.21,166.21
2025-03-24T09:00:00+03:00,166.29,166.29
2025-03-24T10:00:00+03:00,166.27,166.27
2025-03-24T11:00:00+03:00,166.12,166.12
2025-03-24T12:00:00+03:00,165.4,165.4
2025-03-24T13:00:00+03:00,166.72,166.72
2025-03-24T14:00:00+03:00,164.83,164.83
2025-03-24T15:00:00+03:00,162.69,162.69
2025-03-24T16:00:00+03:00,163.13,163.13
2025-03-24T17:00:00+03:00,166.1,166.1
2025-03-24T18:00:00+03:00,166.28,166.28
2025-03-24T19:00:00+03:00,166.23,166.23
2025-03-24T20:00:00+03:00,166.43,166.43
2025-03-24T21:00:00+03:00,165.57,165.57
2025-03-24T22:00:00+03:00,166.22,166.22
2025-03-24T23:00:00+03:00,166.24,166.24
2025-03-25T00:00:00+03:00,166.11,166.11
2025-03-25T01:00:00+03:00,166.36,166.36
2025-03-25T02:00:00+03:00,166.18,166.18
2025-03-25T03:00:00+03:00,166.3,166.3
2025-03-25T04:00:00+03:00,166.15,166.15
2025-03-25T05:00:00+03:00,166.22,166.22
2025-03-25T06:00:00+03:00,159.34,159.34
2025-03-25T07:00:00+03:00,159.76,159.76
2025-03-25T08:00:00+03:00,147.72,147.72
2025-03-25T09:00:00+03:00,77.2,77.2
2025-03-25T10:00:00+03:00,39.33,39.33
2025-03-25T11:00:00+03:00,56.43,56.43
2025-03-25T12:00:00+03:00,70.34,70.34
2025-03-25T13:00:00+03:00,83.95,83.95
2025-03-25T14:00:00+03:00,30.74,30.74
2025-03-25T15:00:00+03:00,51.49,51.49
2025-03-25T16:00:00+03:00,65.04,65.04
2025-03-25T17:00:00+03:00,76.11,76.11
2025-03-25T18:00:00+03:00,86.55,86.55
2025-03-25T19:00:00+03:00,127.55,127.55
2025-03-25T20:00:00+03:00,101.25,101.25
2025-03-25T21:00:00+03:00,85.1,85.1
2025-03-25T22:00:00+03:00,55.28,55.28
2025-03-25T23:00:00+03:00,112.08,112.08
2025-03-26T00:00:00+03:00,123.29,123.29
2025-03-26T01:00:00+03:00,118.65,118.65
2025-03-26T02:00:00+03:00,112.14,112.14
2025-03-26T03:00:00+03:00,70.3,70.3
2025-03-26T04:00:00+03:00,49.74,49.74
2025-03-26T05:00:00+03:00,58.66,58.66
2025-03-26T06:00:00+03:00,80.97,80.97
2025-03-26T07:00:00+03:00,46.46,46.46
2025-03-26T08:00:00+03:00,67.99,67.99
2025-03-26T09:00:00+03:00,95.63,95.63
2025-03-26T10:00:00+03:00,48.21,48.21
2025-03-26T11:00:00+03:00,52.01,52.01
2025-03-26T12:00:00+03:00,26.68,26.68
2025-03-26T13:00:00+03:00,29.98,29.98
2025-03-26T14:00:00+03:00,53.32,53.32
2025-03-26T15:00:00+03:00,56.53,56.53
2025-03-26T16:00:00+03:00,3.78,3.78
2025-03-26T17:00:00+03:00,0,0
2025-03-26T18:00:00+03:00,0,0
2025-03-26T19:00:00+03:00,8.7,8.7
