CASE_ID,CASE_03
SANTRAL,İSTANBUL RES
ACIKLAMA,16.03.2025 tarihinde saat 11:00'de 109 MW uretimden 0 MW'a ani dusus

# OLAY BILGILERI
Tarih,2025-03-16
Saat,11:00
Onceki_Uretim_MW,108.8
Sonraki_Uretim_MW,0.0
Kayip_MW,108.8
Dusus_Yuzde,100.0%

# SANTRAL BILGILERI (Kaynak: enerjiatlasi.com)
Kurulu_Guc,200 MW (283.7 MW)
Il,İstanbul
Isletmeci_Firma,Universal Wind Enerji
Turbin_Adedi,85
Yillik_Uretim,~550 GWh
Detay_URL,https://www.enerjiatlasi.com/ruzgar/istanbul-ruzgar-santrali-res.html


# EN YAKIN 3 METEOROLOJI ISTASYONU
# Kaynak: https://teknolojikkazalar.org/list/weather_station
Istasyon_No,Istasyon_Adi,Kod,Enlem,Boylam,Tip,Organizasyon
17059,Çatalca,CTLC,41° 09' N,28° 28' E,B,DMİ
17637,Silivri,SLVR,41° 05' N,28° 15' E,B,DMİ
17636,Florya Meydan,LTFJ,40° 59' N,28° 47' E,M, S,DMİ

# GERCEK ZAMANLI URETIM (Olay oncesi/sonrasi 72 saat)
Tarih_Saat,Toplam_MWh,Ruzgar_MWh
2025-03-13T00:00:00+03:00,145.48,145.48
2025-03-13T01:00:00+03:00,122.36,122.36
2025-03-13T02:00:00+03:00,97.23,97.23
2025-03-13T03:00:00+03:00,91.31,91.31
2025-03-13T04:00:00+03:00,116.22,116.22
2025-03-13T05:00:00+03:00,157.33,157.33
2025-03-13T06:00:00+03:00,185.37,185.37
2025-03-13T07:00:00+03:00,161.9,161.9
2025-03-13T08:00:00+03:00,161.45,161.45
2025-03-13T09:00:00+03:00,103.38,103.38
2025-03-13T10:00:00+03:00,151.75,151.75
2025-03-13T11:00:00+03:00,186.33,186.33
2025-03-13T12:00:00+03:00,177,177
2025-03-13T13:00:00+03:00,179.45,179.45
2025-03-13T14:00:00+03:00,175.48,175.48
2025-03-13T15:00:00+03:00,166.01,166.01
2025-03-13T16:00:00+03:00,154,154
2025-03-13T17:00:00+03:00,111.6,111.6
2025-03-13T18:00:00+03:00,92.88,92.88
2025-03-13T19:00:00+03:00,91.04,91.04
2025-03-13T20:00:00+03:00,163.64,163.64
2025-03-13T21:00:00+03:00,115.91,115.91
2025-03-13T22:00:00+03:00,114.92,114.92
2025-03-13T23:00:00+03:00,142.05,142.05
2025-03-14T00:00:00+03:00,179.48,179.48
2025-03-14T01:00:00+03:00,190.8,190.8
2025-03-14T02:00:00+03:00,171.62,171.62
2025-03-14T03:00:00+03:00,108.32,108.32
2025-03-14T04:00:00+03:00,137.95,137.95
2025-03-14T05:00:00+03:00,158.77,158.77
2025-03-14T06:00:00+03:00,156.32,156.32
2025-03-14T07:00:00+03:00,155.92,155.92
2025-03-14T08:00:00+03:00,166.1,166.1
2025-03-14T09:00:00+03:00,186.25,186.25
2025-03-14T10:00:00+03:00,187.2,187.2
2025-03-14T11:00:00+03:00,186.97,186.97
2025-03-14T12:00:00+03:00,177.14,177.14
2025-03-14T13:00:00+03:00,179.2,179.2
2025-03-14T14:00:00+03:00,165.79,165.79
2025-03-14T15:00:00+03:00,141.12,141.12
2025-03-14T16:00:00+03:00,146.14,146.14
2025-03-14T17:00:00+03:00,148.38,148.38
2025-03-14T18:00:00+03:00,144.74,144.74
2025-03-14T19:00:00+03:00,194.26,194.26
2025-03-14T20:00:00+03:00,199.36,199.36
2025-03-14T21:00:00+03:00,199.36,199.36
2025-03-14T22:00:00+03:00,199.37,199.37
2025-03-14T23:00:00+03:00,199.37,199.37
2025-03-15T00:00:00+03:00,197.24,197.24
2025-03-15T01:00:00+03:00,186.07,186.07
