CASE_ID,CASE_04
SANTRAL,TATLIPINAR RES
ACIKLAMA,16.03.2025 tarihinde saat 10:00'de 111 MW uretimden 7 MW'a ani dusus

# OLAY BILGILERI
Tarih,2025-03-16
Saat,10:00
Onceki_Uretim_MW,111.4
Sonraki_Uretim_MW,7.2
Kayip_MW,104.2
Dusus_Yuzde,93.5%

# SANTRAL BILGILERI (Kaynak: enerjiatlasi.com)
Kurulu_Guc,127 MW (131.8 MW)
Il,Balıkesir
Isletmeci_Firma,Tatlıpınar Enerji
Turbin_Adedi,36
Yillik_Uretim,~350 GWh
Detay_URL,https://www.enerjiatlasi.com/ruzgar/tatlipinar-res.html


# EN YAKIN 3 METEOROLOJI ISTASYONU
# Kaynak: https://teknolojikkazalar.org/list/weather_station
Istasyon_No,Istasyon_Adi,Kod,Enlem,Boylam,Tip,Organizasyon
17152,Balıkesir Bölge,BLKS,39° 39' N,27° 52' E,B, S,DMİ
17114,Bandırma,BAND,40° 19' N,27° 59' E,B, T2,DMİ
17145,Edremit,EDRM,39° 36' N,27° 01' E,B, S, T2,DMİ

# GERCEK ZAMANLI URETIM (Olay oncesi/sonrasi 72 saat)
Tarih_Saat,Toplam_MWh,Ruzgar_MWh
2025-03-13T00:00:00+03:00,123.45,123.45
2025-03-13T01:00:00+03:00,131.52,131.52
2025-03-13T02:00:00+03:00,108.77,108.77
2025-03-13T03:00:00+03:00,109.19,109.19
2025-03-13T04:00:00+03:00,107.31,107.31
2025-03-13T05:00:00+03:00,78.98,78.98
2025-03-13T06:00:00+03:00,90.98,90.98
2025-03-13T07:00:00+03:00,127.84,127.84
2025-03-13T08:00:00+03:00,132.65,132.65
2025-03-13T09:00:00+03:00,139.03,139.03
2025-03-13T10:00:00+03:00,135.61,135.61
2025-03-13T11:00:00+03:00,121.11,121.11
2025-03-13T12:00:00+03:00,149.59,149.59
2025-03-13T13:00:00+03:00,143.31,143.31
2025-03-13T14:00:00+03:00,135.49,135.49
2025-03-13T15:00:00+03:00,132.81,132.81
2025-03-13T16:00:00+03:00,133.05,133.05
2025-03-13T17:00:00+03:00,132.45,132.45
2025-03-13T18:00:00+03:00,132.43,132.43
2025-03-13T19:00:00+03:00,131.66,131.66
2025-03-13T20:00:00+03:00,131.6,131.6
2025-03-13T21:00:00+03:00,128.09,128.09
2025-03-13T22:00:00+03:00,125.03,125.03
2025-03-13T23:00:00+03:00,130.68,130.68
2025-03-14T00:00:00+03:00,126.61,126.61
2025-03-14T01:00:00+03:00,125.65,125.65
2025-03-14T02:00:00+03:00,131.52,131.52
2025-03-14T03:00:00+03:00,123.88,123.88
2025-03-14T04:00:00+03:00,127.76,127.76
2025-03-14T05:00:00+03:00,111.57,111.57
2025-03-14T06:00:00+03:00,96.24,96.24
2025-03-14T07:00:00+03:00,72.92,72.92
2025-03-14T08:00:00+03:00,69.7,69.7
2025-03-14T09:00:00+03:00,103.37,103.37
2025-03-14T10:00:00+03:00,146.7,146.7
2025-03-14T11:00:00+03:00,132.4,132.4
2025-03-14T12:00:00+03:00,136.59,136.59
2025-03-14T13:00:00+03:00,145.41,145.41
2025-03-14T14:00:00+03:00,160.63,160.63
2025-03-14T15:00:00+03:00,170.63,170.63
2025-03-14T16:00:00+03:00,149.12,149.12
2025-03-14T17:00:00+03:00,99.03,99.03
2025-03-14T18:00:00+03:00,69.19,69.19
2025-03-14T19:00:00+03:00,67.64,67.64
2025-03-14T20:00:00+03:00,40.25,40.25
2025-03-14T21:00:00+03:00,38.99,38.99
2025-03-14T22:00:00+03:00,54.05,54.05
2025-03-14T23:00:00+03:00,64.74,64.74
2025-03-15T00:00:00+03:00,50.1,50.1
2025-03-15T01:00:00+03:00,40.58,40.58
2025-03-15T02:00:00+03:00,52.04,52.04
2025-03-15T03:00:00+03:00,54.74,54.74
2025-03-15T04:00:00+03:00,61.06,61.06
2025-03-15T05:00:00+03:00,55.11,55.11
2025-03-15T06:00:00+03:00,48.23,48.23
2025-03-15T07:00:00+03:00,36.05,36.05
2025-03-15T08:00:00+03:00,75.14,75.14
2025-03-15T09:00:00+03:00,98.93,98.93
2025-03-15T10:00:00+03:00,125.89,125.89
2025-03-15T11:00:00+03:00,127.72,127.72
2025-03-15T12:00:00+03:00,164.46,164.46
2025-03-15T13:00:00+03:00,184.35,184.35
2025-03-15T14:00:00+03:00,187.15,187.15
2025-03-15T15:00:00+03:00,170.39,170.39
2025-03-15T16:00:00+03:00,151.77,151.77
2025-03-15T17:00:00+03:00,141.69,141.69
2025-03-15T18:00:00+03:00,102.77,102.77
2025-03-15T19:00:00+03:00,76.95,76.95
2025-03-15T20:00:00+03:00,98.12,98.12
2025-03-15T21:00:00+03:00,125.12,125.12
2025-03-15T22:00:00+03:00,129.18,129.18
2025-03-15T23:00:00+03:00,129.6,129.6
2025-03-16T00:00:00+03:00,104.88,104.88
2025-03-16T01:00:00+03:00,129.82,129.82
2025-03-16T02:00:00+03:00,131.23,131.23
2025-03-16T03:00:00+03:00,131.64,131.64
2025-03-16T04:00:00+03:00,121.47,121.47
2025-03-16T05:00:00+03:00,79.95,79.95
2025-03-16T06:00:00+03:00,81.29,81.29
2025-03-16T07:00:00+03:00,110.17,110.17
2025-03-16T08:00:00+03:00,132.48,132.48
2025-03-16T09:00:00+03:00,111.42,111.42
2025-03-16T10:00:00+03:00,7.24,7.24
2025-03-16T11:00:00+03:00,0.84,0.84
2025-03-16T12:00:00+03:00,0.86,0.86
2025-03-16T13:00:00+03:00,80.1,80.1
2025-03-16T14:00:00+03:00,136.03,136.03
2025-03-16T15:00:00+03:00,133.03,133.03
2025-03-16T16:00:00+03:00,136.08,136.08
2025-03-16T17:00:00+03:00,116.95,116.95
2025-03-16T18:00:00+03:00,99.32,99.32
2025-03-16T19:00:00+03:00,111.38,111.38
2025-03-16T20:00:00+03:00,120.22,120.22
2025-03-16T21:00:00+03:00,92.15,92.15
2025-03-16T22:00:00+03:00,57.61,57.61
2025-03-16T23:00:00+03:00,53.51,53.51
2025-03-17T00:00:00+03:00,38.13,38.13
2025-03-17T01:00:00+03:00,33.41,33.41
2025-03-17T02:00:00+03:00,33.81,33.81
2025-03-17T03:00:00+03:00,25.78,25.78
2025-03-17T04:00:00+03:00,53.45,53.45
2025-03-17T05:00:00+03:00,88.79,88.79
2025-03-17T06:00:00+03:00,100.63,100.63
2025-03-17T07:00:00+03:00,103.42,103.42
2025-03-17T08:00:00+03:00,99.37,99.37
2025-03-17T09:00:00+03:00,117.18,117.18
2025-03-17T10:00:00+03:00,109.99,109.99
2025-03-17T11:00:00+03:00,126.85,126.85
2025-03-17T12:00:00+03:00,141.74,141.74
2025-03-17T13:00:00+03:00,126.83,126.83
2025-03-17T14:00:00+03:00,153.36,153.36
2025-03-17T15:00:00+03:00,155.04,155.04
2025-03-17T16:00:00+03:00,157.09,157.09
2025-03-17T17:00:00+03:00,149.03,149.03
2025-03-17T18:00:00+03:00,132.03,132.03
2025-03-17T19:00:00+03:00,117.3,117.3
2025-03-17T20:00:00+03:00,117.36,117.36
2025-03-17T21:00:00+03:00,37.48,37.48
2025-03-17T22:00:00+03:00,27.78,27.78
2025-03-17T23:00:00+03:00,19.49,19.49
2025-03-18T00:00:00+03:00,7.9,7.9
2025-03-18T01:00:00+03:00,54.6,54.6
2025-03-18T02:00:00+03:00,15.39,15.39
2025-03-18T03:00:00+03:00,54.67,54.67
2025-03-18T04:00:00+03:00,55.84,55.84
2025-03-18T05:00:00+03:00,62.55,62.55
2025-03-18T06:00:00+03:00,40.71,40.71
2025-03-18T07:00:00+03:00,32.34,32.34
2025-03-18T08:00:00+03:00,52.3,52.3
2025-03-18T09:00:00+03:00,74.86,74.86
2025-03-18T10:00:00+03:00,101.02,101.02
2025-03-18T11:00:00+03:00,100.11,100.11
2025-03-18T12:00:00+03:00,106.05,106.05
2025-03-18T13:00:00+03:00,110.66,110.66
2025-03-18T14:00:00+03:00,122.81,122.81
2025-03-18T15:00:00+03:00,132.48,132.48
2025-03-18T16:00:00+03:00,132.4,132.4
2025-03-18T17:00:00+03:00,132.4,132.4
2025-03-18T18:00:00+03:00,132.03,132.03
2025-03-18T19:00:00+03:00,131.61,131.61
2025-03-18T20:00:00+03:00,131.58,131.58
2025-03-18T21:00:00+03:00,131.6,131.6
2025-03-18T22:00:00+03:00,131.62,131.62
2025-03-18T23:00:00+03:00,131.62,131.62
2025-03-19T00:00:00+03:00,131.58,131.58
2025-03-19T01:00:00+03:00,131.59,131.59
2025-03-19T02:00:00+03:00,131.59,131.59
2025-03-19T03:00:00+03:00,131.59,131.59
2025-03-19T04:00:00+03:00,131.6,131.6
2025-03-19T05:00:00+03:00,131.57,131.57
2025-03-19T06:00:00+03:00,131.58,131.58
2025-03-19T07:00:00+03:00,131.98,131.98
2025-03-19T08:00:00+03:00,132.39,132.39
2025-03-19T09:00:00+03:00,132.43,132.43
2025-03-19T10:00:00+03:00,132.45,132.45
2025-03-19T11:00:00+03:00,132.44,132.44
2025-03-19T12:00:00+03:00,132.39,132.39
2025-03-19T13:00:00+03:00,132.42,132.42
2025-03-19T14:00:00+03:00,132.34,132.34
2025-03-19T15:00:00+03:00,132.37,132.37
2025-03-19T16:00:00+03:00,132.38,132.38
2025-03-19T17:00:00+03:00,132.34,132.34
2025-03-19T18:00:00+03:00,132.33,132.33
2025-03-19T19:00:00+03:00,131.64,131.64
2025-03-19T20:00:00+03:00,127.4,127.4
2025-03-19T21:00:00+03:00,116.55,116.55
2025-03-19T22:00:00+03:00,105.13,105.13
2025-03-19T23:00:00+03:00,67.61,67.61
