CASE_ID,CASE_08
SANTRAL,ÜÇPINAR RES
ACIKLAMA,16.03.2025 tarihinde saat 11:00'de 87 MW uretimden 0 MW'a ani dusus

# OLAY BILGILERI
Tarih,2025-03-16
Saat,11:00
Onceki_Uretim_MW,87.0
Sonraki_Uretim_MW,0.0
Kayip_MW,87.0
Dusus_Yuzde,100.0%

# SANTRAL BILGILERI (Kaynak: enerjiatlasi.com)
Kurulu_Guc,93 MW
Il,Balıkesir
Isletmeci_Firma,Üçpınar Enerji
Turbin_Adedi,31
Yillik_Uretim,~260 GWh
Detay_URL,https://www.enerjiatlasi.com/ruzgar/


# EN YAKIN 3 METEOROLOJI ISTASYONU
# Kaynak: https://teknolojikkazalar.org/list/weather_station
Istasyon_No,Istasyon_Adi,Kod,Enlem,Boylam,Tip,Organizasyon
17152,Balıkesir Bölge,BLKS,39° 39' N,27° 52' E,B, S,DMİ
17114,Bandırma,BAND,40° 19' N,27° 59' E,B, T2,DMİ
17145,Edremit,EDRM,39° 36' N,27° 01' E,B, S, T2,DMİ

# GERCEK ZAMANLI URETIM (Olay oncesi/sonrasi 72 saat)
Tarih_Saat,Toplam_MWh,Ruzgar_MWh
2025-03-13T00:00:00+03:00,63.06,63.06
2025-03-13T01:00:00+03:00,64.31,64.31
2025-03-13T02:00:00+03:00,65.69,65.69
2025-03-13T03:00:00+03:00,92.13,92.13
2025-03-13T04:00:00+03:00,98.69,98.69
2025-03-13T05:00:00+03:00,98.69,98.69
2025-03-13T06:00:00+03:00,98.75,98.75
2025-03-13T07:00:00+03:00,98.99,98.99
2025-03-13T08:00:00+03:00,99.94,99.94
2025-03-13T09:00:00+03:00,102.36,102.36
2025-03-13T10:00:00+03:00,107.3,107.3
2025-03-13T11:00:00+03:00,110.65,110.65
2025-03-13T12:00:00+03:00,115.88,115.88
2025-03-13T13:00:00+03:00,112.33,112.33
2025-03-13T14:00:00+03:00,106.38,106.38
2025-03-13T15:00:00+03:00,109.43,109.43
2025-03-13T16:00:00+03:00,104.72,104.72
2025-03-13T17:00:00+03:00,104.17,104.17
2025-03-13T18:00:00+03:00,101.28,101.28
2025-03-13T19:00:00+03:00,98.75,98.75
2025-03-13T20:00:00+03:00,98.69,98.69
2025-03-13T21:00:00+03:00,98.69,98.69
2025-03-13T22:00:00+03:00,98.75,98.75
2025-03-13T23:00:00+03:00,98.76,98.76
2025-03-14T00:00:00+03:00,98.8,98.8
2025-03-14T01:00:00+03:00,98.75,98.75
2025-03-14T02:00:00+03:00,98.38,98.38
2025-03-14T03:00:00+03:00,98.88,98.88
2025-03-14T04:00:00+03:00,98.75,98.75
2025-03-14T05:00:00+03:00,98.69,98.69
2025-03-14T06:00:00+03:00,98.81,98.81
2025-03-14T07:00:00+03:00,97.45,97.45
2025-03-14T08:00:00+03:00,90.92,90.92
