CASE_ID,CASE_09
SANTRAL,EVRENCİK RES
ACIKLAMA,16.03.2025 tarihinde saat 10:00'de 81 MW uretimden 0 MW'a ani dusus

# OLAY BILGILERI
Tarih,2025-03-16
Saat,10:00
Onceki_Uretim_MW,80.9
Sonraki_Uretim_MW,0.0
Kayip_MW,80.9
Dusus_Yuzde,100.0%

# SANTRAL BILGILERI (Kaynak: enerjiatlasi.com)
Kurulu_Guc,130 MW (170.4 MW)
Il,Kırklareli
Isletmeci_Firma,RES Anatolia Holding
Turbin_Adedi,52
Yillik_Uretim,~400 GWh
Detay_URL,https://www.enerjiatlasi.com/ruzgar/evrencik-res.html


# EN YAKIN 3 METEOROLOJI ISTASYONU
# Kaynak: https://teknolojikkazalar.org/list/weather_station
Istasyon_No,Istasyon_Adi,Kod,Enlem,Boylam,Tip,Organizasyon
17052,Kırklareli,KRKL,41° 44' N,27° 13' E,B, S,DMİ
17632,Lüleburgaz,LULB,41° 24' N,27° 21' E,B,DMİ
17050,Edirne,EDRN,41° 40' N,26° 33' E,B, S,DMİ

# GERCEK ZAMANLI URETIM (Olay oncesi/sonrasi 72 saat)
Tarih_Saat,Toplam_MWh,Ruzgar_MWh
2025-03-13T00:00:00+03:00,69.47,69.47
2025-03-13T01:00:00+03:00,89.71,89.71
2025-03-13T02:00:00+03:00,43.23,43.23
2025-03-13T03:00:00+03:00,18.61,18.61
2025-03-13T04:00:00+03:00,25.06,25.06
2025-03-13T05:00:00+03:00,44.02,44.02
2025-03-13T06:00:00+03:00,40.32,40.32
2025-03-13T07:00:00+03:00,58.01,58.01
2025-03-13T08:00:00+03:00,91.72,91.72
2025-03-13T09:00:00+03:00,59.53,59.53
2025-03-13T10:00:00+03:00,55.9,55.9
2025-03-13T11:00:00+03:00,123.07,123.07
2025-03-13T12:00:00+03:00,99.03,99.03
2025-03-13T13:00:00+03:00,140.01,140.01
2025-03-13T14:00:00+03:00,145.74,145.74
2025-03-13T15:00:00+03:00,146.17,146.17
2025-03-13T16:00:00+03:00,149.66,149.66
2025-03-13T17:00:00+03:00,149.7,149.7
2025-03-13T18:00:00+03:00,149.7,149.7
2025-03-13T19:00:00+03:00,131.61,131.61
2025-03-13T20:00:00+03:00,121.75,121.75
2025-03-13T21:00:00+03:00,126.06,126.06
2025-03-13T22:00:00+03:00,88.89,88.89
2025-03-13T23:00:00+03:00,111.89,111.89
2025-03-14T00:00:00+03:00,141.34,141.34
2025-03-14T01:00:00+03:00,147.46,147.46
2025-03-14T02:00:00+03:00,149.67,149.67
2025-03-14T03:00:00+03:00,136.47,136.47
2025-03-14T04:00:00+03:00,139.22,139.22
2025-03-14T05:00:00+03:00,147.17,147.17
2025-03-14T06:00:00+03:00,149.54,149.54
2025-03-14T07:00:00+03:00,136.29,136.29
2025-03-14T08:00:00+03:00,126.01,126.01
2025-03-14T09:00:00+03:00,87.32,87.32
2025-03-14T10:00:00+03:00,69.36,69.36
2025-03-14T11:00:00+03:00,86.57,86.57
2025-03-14T12:00:00+03:00,119.98,119.98
2025-03-14T13:00:00+03:00,147.15,147.15
2025-03-14T14:00:00+03:00,149.34,149.34
2025-03-14T15:00:00+03:00,149.59,149.59
2025-03-14T16:00:00+03:00,149.21,149.21
2025-03-14T17:00:00+03:00,149.66,149.66
2025-03-14T18:00:00+03:00,137.44,137.44
2025-03-14T19:00:00+03:00,131.88,131.88
2025-03-14T20:00:00+03:00,87.23,87.23
2025-03-14T21:00:00+03:00,76.64,76.64
2025-03-14T22:00:00+03:00,69.08,69.08
2025-03-14T23:00:00+03:00,47.26,47.26
2025-03-15T00:00:00+03:00,43.6,43.6
2025-03-15T01:00:00+03:00,70.27,70.27
2025-03-15T02:00:00+03:00,57.96,57.96
2025-03-15T03:00:00+03:00,60.4,60.4
2025-03-15T04:00:00+03:00,27.61,27.61
2025-03-15T05:00:00+03:00,43.42,43.42
2025-03-15T06:00:00+03:00,59.01,59.01
2025-03-15T07:00:00+03:00,51.57,51.57
2025-03-15T08:00:00+03:00,48.03,48.03
2025-03-15T09:00:00+03:00,33.06,33.06
2025-03-15T10:00:00+03:00,27.69,27.69
2025-03-15T11:00:00+03:00,47.28,47.28
2025-03-15T12:00:00+03:00,60.24,60.24
2025-03-15T13:00:00+03:00,80.68,80.68
2025-03-15T14:00:00+03:00,128.07,128.07
2025-03-15T15:00:00+03:00,103.65,103.65
2025-03-15T16:00:00+03:00,84.21,84.21
2025-03-15T17:00:00+03:00,84.24,84.24
2025-03-15T18:00:00+03:00,66.84,66.84
2025-03-15T19:00:00+03:00,94.83,94.83
2025-03-15T20:00:00+03:00,88.24,88.24
2025-03-15T21:00:00+03:00,117.37,117.37
2025-03-15T22:00:00+03:00,95.21,95.21
2025-03-15T23:00:00+03:00,86.58,86.58
2025-03-16T00:00:00+03:00,99.26,99.26
2025-03-16T01:00:00+03:00,89.88,89.88
2025-03-16T02:00:00+03:00,49.15,49.15
2025-03-16T03:00:00+03:00,33.66,33.66
2025-03-16T04:00:00+03:00,35.65,35.65
2025-03-16T05:00:00+03:00,67.25,67.25
2025-03-16T06:00:00+03:00,77.95,77.95
2025-03-16T07:00:00+03:00,98.71,98.71
2025-03-16T08:00:00+03:00,100.93,100.93
2025-03-16T09:00:00+03:00,80.89,80.89
2025-03-16T10:00:00+03:00,0,0
2025-03-16T11:00:00+03:00,0,0
2025-03-16T12:00:00+03:00,0,0
2025-03-16T13:00:00+03:00,77.31,77.31
2025-03-16T14:00:00+03:00,149.76,149.76
2025-03-16T15:00:00+03:00,149.6,149.6
2025-03-16T16:00:00+03:00,144.43,144.43
2025-03-16T17:00:00+03:00,107.02,107.02
2025-03-16T18:00:00+03:00,97.5,97.5
2025-03-16T19:00:00+03:00,102.3,102.3
2025-03-16T20:00:00+03:00,105.11,105.11
2025-03-16T21:00:00+03:00,97.26,97.26
2025-03-16T22:00:00+03:00,8.68,8.68
2025-03-16T23:00:00+03:00,11.6,11.6
2025-03-17T00:00:00+03:00,0.12,0.12
2025-03-17T01:00:00+03:00,0.06,0.06
2025-03-17T02:00:00+03:00,0,0
2025-03-17T03:00:00+03:00,0.16,0.16
2025-03-17T04:00:00+03:00,0.21,0.21
2025-03-17T05:00:00+03:00,2.75,2.75
2025-03-17T06:00:00+03:00,2.74,2.74
2025-03-17T07:00:00+03:00,2.44,2.44
2025-03-17T08:00:00+03:00,20.13,20.13
2025-03-17T09:00:00+03:00,28.15,28.15
2025-03-17T10:00:00+03:00,40.25,40.25
2025-03-17T11:00:00+03:00,53.06,53.06
2025-03-17T12:00:00+03:00,24.41,24.41
2025-03-17T13:00:00+03:00,42,42
2025-03-17T14:00:00+03:00,85.81,85.81
2025-03-17T15:00:00+03:00,127.39,127.39
2025-03-17T16:00:00+03:00,138.14,138.14
2025-03-17T17:00:00+03:00,136.09,136.09
2025-03-17T18:00:00+03:00,110.4,110.4
2025-03-17T19:00:00+03:00,114.3,114.3
2025-03-17T20:00:00+03:00,55.17,55.17
2025-03-17T21:00:00+03:00,26.13,26.13
2025-03-17T22:00:00+03:00,18.08,18.08
2025-03-17T23:00:00+03:00,0.01,0.01
2025-03-18T00:00:00+03:00,58.43,58.43
2025-03-18T01:00:00+03:00,94.98,94.98
2025-03-18T02:00:00+03:00,23.41,23.41
2025-03-18T03:00:00+03:00,48.81,48.81
2025-03-18T04:00:00+03:00,81.22,81.22
2025-03-18T05:00:00+03:00,112.78,112.78
2025-03-18T06:00:00+03:00,131.65,131.65
2025-03-18T07:00:00+03:00,145.17,145.17
2025-03-18T08:00:00+03:00,146.77,146.77
2025-03-18T09:00:00+03:00,149.84,149.84
2025-03-18T10:00:00+03:00,149.17,149.17
2025-03-18T11:00:00+03:00,148.83,148.83
2025-03-18T12:00:00+03:00,148.21,148.21
2025-03-18T13:00:00+03:00,148.78,148.78
2025-03-18T14:00:00+03:00,149.72,149.72
2025-03-18T15:00:00+03:00,149.71,149.71
2025-03-18T16:00:00+03:00,149.72,149.72
2025-03-18T17:00:00+03:00,148.61,148.61
2025-03-18T18:00:00+03:00,149.72,149.72
2025-03-18T19:00:00+03:00,149.71,149.71
2025-03-18T20:00:00+03:00,149.73,149.73
2025-03-18T21:00:00+03:00,149.5,149.5
2025-03-18T22:00:00+03:00,149.92,149.92
2025-03-18T23:00:00+03:00,149.6,149.6
2025-03-19T00:00:00+03:00,149.77,149.77
2025-03-19T01:00:00+03:00,149.74,149.74
2025-03-19T02:00:00+03:00,149.68,149.68
2025-03-19T03:00:00+03:00,149.76,149.76
2025-03-19T04:00:00+03:00,149.71,149.71
2025-03-19T05:00:00+03:00,149.55,149.55
2025-03-19T06:00:00+03:00,149.7,149.7
2025-03-19T07:00:00+03:00,133.95,133.95
2025-03-19T08:00:00+03:00,141.04,141.04
2025-03-19T09:00:00+03:00,147.06,147.06
2025-03-19T10:00:00+03:00,127.14,127.14
2025-03-19T11:00:00+03:00,129.94,129.94
2025-03-19T12:00:00+03:00,109.2,109.2
2025-03-19T13:00:00+03:00,96.13,96.13
