CASE_ID,CASE_11
SANTRAL,TAŞPINAR RES(GALATA WİND)
ACIKLAMA,16.03.2025 tarihinde saat 11:00'de 77 MW uretimden 0 MW'a ani dusus

# OLAY BILGILERI
Tarih,2025-03-16
Saat,11:00
Onceki_Uretim_MW,77.2
Sonraki_Uretim_MW,0.0
Kayip_MW,77.2
Dusus_Yuzde,100.0%

# SANTRAL BILGILERI (Kaynak: enerjiatlasi.com)
Kurulu_Guc,56 MW (68 MW)
Il,İstanbul
Isletmeci_Firma,Galata Wind Enerji
Turbin_Adedi,17
Yillik_Uretim,~160 GWh
Detay_URL,https://www.enerjiatlasi.com/ruzgar/


# EN YAKIN 3 METEOROLOJI ISTASYONU
# Kaynak: https://teknolojikkazalar.org/list/weather_station
Istasyon_No,Istasyon_Adi,Kod,Enlem,Boylam,Tip,Organizasyon
17059,Çatalca,CTLC,41° 09' N,28° 28' E,B,DMİ
17637,Silivri,SLVR,41° 05' N,28° 15' E,B,DMİ
17636,Florya Meydan,LTFJ,40° 59' N,28° 47' E,M, S,DMİ

# GERCEK ZAMANLI URETIM (Olay oncesi/sonrasi 72 saat)
Tarih_Saat,Toplam_MWh,Ruzgar_MWh
2025-03-13T00:00:00+03:00,32.08,32.08
2025-03-13T01:00:00+03:00,44.26,44.26
2025-03-13T02:00:00+03:00,53.48,53.48
2025-03-13T03:00:00+03:00,72.49,72.49
2025-03-13T04:00:00+03:00,72.33,72.33
2025-03-13T05:00:00+03:00,72.6,72.6
2025-03-13T06:00:00+03:00,70.72,70.72
2025-03-13T07:00:00+03:00,64.36,64.36
2025-03-13T08:00:00+03:00,72.73,72.73
2025-03-13T09:00:00+03:00,72.86,72.86
2025-03-13T10:00:00+03:00,72.05,72.05
2025-03-13T11:00:00+03:00,72.95,72.95
2025-03-13T12:00:00+03:00,67.8,67.8
2025-03-13T13:00:00+03:00,65.57,65.57
2025-03-13T14:00:00+03:00,50.99,50.99
2025-03-13T15:00:00+03:00,34.4,34.4
2025-03-13T16:00:00+03:00,37.96,37.96
2025-03-13T17:00:00+03:00,37.49,37.49
2025-03-13T18:00:00+03:00,27.78,27.78
2025-03-13T19:00:00+03:00,63.12,63.12
2025-03-13T20:00:00+03:00,66.06,66.06
2025-03-13T21:00:00+03:00,72.66,72.66
2025-03-13T22:00:00+03:00,72.4,72.4
2025-03-13T23:00:00+03:00,71.81,71.81
2025-03-14T00:00:00+03:00,72.03,72.03
2025-03-14T01:00:00+03:00,72.27,72.27
2025-03-14T02:00:00+03:00,72.19,72.19
2025-03-14T03:00:00+03:00,71.71,71.71
2025-03-14T04:00:00+03:00,71.84,71.84
2025-03-14T05:00:00+03:00,72.23,72.23
2025-03-14T06:00:00+03:00,68.23,68.23
2025-03-14T07:00:00+03:00,60.11,60.11
2025-03-14T08:00:00+03:00,70.09,70.09
2025-03-14T09:00:00+03:00,71.72,71.72
2025-03-14T10:00:00+03:00,69.54,69.54
2025-03-14T11:00:00+03:00,69.74,69.74
2025-03-14T12:00:00+03:00,67.07,67.07
2025-03-14T13:00:00+03:00,62.07,62.07
2025-03-14T14:00:00+03:00,68.1,68.1
2025-03-14T15:00:00+03:00,62.74,62.74
2025-03-14T16:00:00+03:00,66.08,66.08
2025-03-14T17:00:00+03:00,49.97,49.97
2025-03-14T18:00:00+03:00,31.06,31.06
2025-03-14T19:00:00+03:00,21.56,21.56
2025-03-14T20:00:00+03:00,26.74,26.74
2025-03-14T21:00:00+03:00,24.29,24.29
2025-03-14T22:00:00+03:00,20.05,20.05
2025-03-14T23:00:00+03:00,44.24,44.24
2025-03-15T00:00:00+03:00,45.67,45.67
2025-03-15T01:00:00+03:00,58.75,58.75
2025-03-15T02:00:00+03:00,48.17,48.17
2025-03-15T03:00:00+03:00,56.72,56.72
2025-03-15T04:00:00+03:00,64.63,64.63
2025-03-15T05:00:00+03:00,72.36,72.36
2025-03-15T06:00:00+03:00,71.82,71.82
2025-03-15T07:00:00+03:00,72.96,72.96
2025-03-15T08:00:00+03:00,72.98,72.98
2025-03-15T09:00:00+03:00,73,73
2025-03-15T10:00:00+03:00,73,73
2025-03-15T11:00:00+03:00,72.74,72.74
2025-03-15T12:00:00+03:00,63.9,63.9
2025-03-15T13:00:00+03:00,49.5,49.5
2025-03-15T14:00:00+03:00,54.12,54.12
2025-03-15T15:00:00+03:00,56.26,56.26
2025-03-15T16:00:00+03:00,69.72,69.72
2025-03-15T17:00:00+03:00,61.2,61.2
2025-03-15T18:00:00+03:00,48.02,48.02
2025-03-15T19:00:00+03:00,53.72,53.72
2025-03-15T20:00:00+03:00,58.58,58.58
2025-03-15T21:00:00+03:00,50.21,50.21
2025-03-15T22:00:00+03:00,71.69,71.69
2025-03-15T23:00:00+03:00,71.16,71.16
2025-03-16T00:00:00+03:00,72.98,72.98
2025-03-16T01:00:00+03:00,71.98,71.98
2025-03-16T02:00:00+03:00,72.48,72.48
2025-03-16T03:00:00+03:00,72.4,72.4
2025-03-16T04:00:00+03:00,72.45,72.45
2025-03-16T05:00:00+03:00,72.52,72.52
2025-03-16T06:00:00+03:00,72.53,72.53
2025-03-16T07:00:00+03:00,71.71,71.71
