CASE_ID,CASE_12
SANTRAL,SAROS RES
ACIKLAMA,28.01.2025 tarihinde saat 14:00'de 77 MW uretimden 0 MW'a ani dusus

# OLAY BILGILERI
Tarih,2025-01-28
Saat,14:00
Onceki_Uretim_MW,77.1
Sonraki_Uretim_MW,0.0
Kayip_MW,77.1
Dusus_Yuzde,100.0%

# SANTRAL BILGILERI (Kaynak: enerjiatlasi.com)
Kurulu_Guc,138 MW (143.5 MW)
Il,Çanakkale
Isletmeci_Firma,Borusan EnBW Enerji
Turbin_Adedi,41
Yillik_Uretim,~420 GWh
Detay_URL,https://www.enerjiatlasi.com/ruzgar/saros-res.html


# EN YAKIN 3 METEOROLOJI ISTASYONU
# Kaynak: https://teknolojikkazalar.org/list/weather_station
Istasyon_No,Istasyon_Adi,Kod,Enlem,Boylam,Tip,Organizasyon
17112,Çanakkale,CNKL,40° 08' N,26° 24' E,B, S,DMİ
17110,Gökçeada,GKCD,40° 12' N,25° 54' E,B, S,DMİ
17111,Bozcaada,BZCD,39° 50' N,26° 04' E,B,DMİ

# GERCEK ZAMANLI URETIM (Olay oncesi/sonrasi 72 saat)
Tarih_Saat,Toplam_MWh,Ruzgar_MWh
2025-01-25T00:00:00+03:00,53.11,53.11
2025-01-25T01:00:00+03:00,52.96,52.96
2025-01-25T02:00:00+03:00,65.64,65.64
2025-01-25T03:00:00+03:00,36.99,36.99
2025-01-25T04:00:00+03:00,34.99,34.99
2025-01-25T05:00:00+03:00,70.29,70.29
2025-01-25T06:00:00+03:00,84.78,84.78
2025-01-25T07:00:00+03:00,68.43,68.43
2025-01-25T08:00:00+03:00,49.14,49.14
2025-01-25T09:00:00+03:00,27.68,27.68
2025-01-25T10:00:00+03:00,51.98,51.98
2025-01-25T11:00:00+03:00,47.78,47.78
2025-01-25T12:00:00+03:00,48.97,48.97
2025-01-25T13:00:00+03:00,66.41,66.41
2025-01-25T14:00:00+03:00,73.79,73.79
2025-01-25T15:00:00+03:00,71.82,71.82
2025-01-25T16:00:00+03:00,56.13,56.13
2025-01-25T17:00:00+03:00,31.72,31.72
2025-01-25T18:00:00+03:00,45.3,45.3
2025-01-25T19:00:00+03:00,48.88,48.88
2025-01-25T20:00:00+03:00,43.56,43.56
2025-01-25T21:00:00+03:00,56.56,56.56
2025-01-25T22:00:00+03:00,68.68,68.68
2025-01-25T23:00:00+03:00,48.18,48.18
2025-01-26T00:00:00+03:00,37.86,37.86
2025-01-26T01:00:00+03:00,42.22,42.22
2025-01-26T02:00:00+03:00,44.02,44.02
2025-01-26T03:00:00+03:00,51.73,51.73
2025-01-26T04:00:00+03:00,43.36,43.36
2025-01-26T05:00:00+03:00,69.57,69.57
2025-01-26T06:00:00+03:00,62.53,62.53
2025-01-26T07:00:00+03:00,0,0
2025-01-26T08:00:00+03:00,42.13,42.13
2025-01-26T09:00:00+03:00,30.35,30.35
2025-01-26T10:00:00+03:00,32.67,32.67
2025-01-26T11:00:00+03:00,33.85,33.85
2025-01-26T12:00:00+03:00,30.36,30.36
2025-01-26T13:00:00+03:00,42.53,42.53
2025-01-26T14:00:00+03:00,69.68,69.68
2025-01-26T15:00:00+03:00,59.11,59.11
2025-01-26T16:00:00+03:00,40.1,40.1
2025-01-26T17:00:00+03:00,15.51,15.51
2025-01-26T18:00:00+03:00,0,0
2025-01-26T19:00:00+03:00,1,1
2025-01-26T20:00:00+03:00,3.65,3.65
2025-01-26T21:00:00+03:00,14.36,14.36
2025-01-26T22:00:00+03:00,19.86,19.86
2025-01-26T23:00:00+03:00,21.9,21.9
2025-01-27T00:00:00+03:00,30.87,30.87
2025-01-27T01:00:00+03:00,46.7,46.7
2025-01-27T02:00:00+03:00,67.96,67.96
2025-01-27T03:00:00+03:00,60.46,60.46
2025-01-27T04:00:00+03:00,51.83,51.83
2025-01-27T05:00:00+03:00,54.05,54.05
2025-01-27T06:00:00+03:00,53.46,53.46
2025-01-27T07:00:00+03:00,18.75,18.75
2025-01-27T08:00:00+03:00,16.92,16.92
2025-01-27T09:00:00+03:00,11.95,11.95
2025-01-27T10:00:00+03:00,11.36,11.36
2025-01-27T11:00:00+03:00,7.85,7.85
2025-01-27T12:00:00+03:00,6.5,6.5
2025-01-27T13:00:00+03:00,6.94,6.94
2025-01-27T14:00:00+03:00,8.98,8.98
2025-01-27T15:00:00+03:00,9.94,9.94
2025-01-27T16:00:00+03:00,8.3,8.3
2025-01-27T17:00:00+03:00,5.15,5.15
2025-01-27T18:00:00+03:00,6.42,6.42
2025-01-27T19:00:00+03:00,9.41,9.41
2025-01-27T20:00:00+03:00,11.72,11.72
2025-01-27T21:00:00+03:00,15,15
2025-01-27T22:00:00+03:00,21.37,21.37
2025-01-27T23:00:00+03:00,18.98,18.98
2025-01-28T00:00:00+03:00,22.85,22.85
2025-01-28T01:00:00+03:00,34.42,34.42
2025-01-28T02:00:00+03:00,44.8,44.8
2025-01-28T03:00:00+03:00,44.77,44.77
2025-01-28T04:00:00+03:00,54.09,54.09
2025-01-28T05:00:00+03:00,60,60
2025-01-28T06:00:00+03:00,61.88,61.88
2025-01-28T07:00:00+03:00,63,63
2025-01-28T08:00:00+03:00,65.5,65.5
2025-01-28T09:00:00+03:00,0,0
2025-01-28T10:00:00+03:00,0,0
2025-01-28T11:00:00+03:00,52.67,52.67
2025-01-28T12:00:00+03:00,64.9,64.9
2025-01-28T13:00:00+03:00,77.13,77.13
2025-01-28T14:00:00+03:00,0,0
