CASE_ID,CASE_13
SANTRAL,GÖKTEPE RES
ACIKLAMA,16.03.2025 tarihinde saat 11:00'de 76 MW uretimden 0 MW'a ani dusus

# OLAY BILGILERI
Tarih,2025-03-16
Saat,11:00
Onceki_Uretim_MW,76.0
Sonraki_Uretim_MW,0.0
Kayip_MW,76.0
Dusus_Yuzde,100.0%

# SANTRAL BILGILERI (Kaynak: enerjiatlasi.com)
Kurulu_Guc,118 MW
Il,Yalova
Isletmeci_Firma,İş Enerji
Turbin_Adedi,35
Yillik_Uretim,~340 GWh
Detay_URL,https://www.enerjiatlasi.com/ruzgar/goktepe-res.html


# EN YAKIN 3 METEOROLOJI ISTASYONU
# Kaynak: https://teknolojikkazalar.org/list/weather_station
Istasyon_No,Istasyon_Adi,Kod,Enlem,Boylam,Tip,Organizasyon
17119,Yalova,YALV,40° 40' N,29° 17' E,B,DMİ
17116,Bursa Bölge,BURS,40° 14' N,29° 01' E,B, S,DMİ
17066,Kocaeli,KCAL,40° 46' N,29° 55' E,B, S,DMİ

# GERCEK ZAMANLI URETIM (Olay oncesi/sonrasi 72 saat)
Tarih_Saat,Toplam_MWh,Ruzgar_MWh
2025-03-13T00:00:00+03:00,83,83
2025-03-13T01:00:00+03:00,84,84
2025-03-13T02:00:00+03:00,86,86
2025-03-13T03:00:00+03:00,100,100
2025-03-13T04:00:00+03:00,91,91
2025-03-13T05:00:00+03:00,53,53
2025-03-13T06:00:00+03:00,58,58
2025-03-13T07:00:00+03:00,75,75
2025-03-13T08:00:00+03:00,89,89
2025-03-13T09:00:00+03:00,99,99
2025-03-13T10:00:00+03:00,111,111
2025-03-13T11:00:00+03:00,110,110
2025-03-13T12:00:00+03:00,108,108
2025-03-13T13:00:00+03:00,113,113
2025-03-13T14:00:00+03:00,81,81
2025-03-13T15:00:00+03:00,65,65
2025-03-13T16:00:00+03:00,32,32
2025-03-13T17:00:00+03:00,34,34
2025-03-13T18:00:00+03:00,49,49
2025-03-13T19:00:00+03:00,84,84
2025-03-13T20:00:00+03:00,64,64
2025-03-13T21:00:00+03:00,84,84
2025-03-13T22:00:00+03:00,108,108
2025-03-13T23:00:00+03:00,105,105
2025-03-14T00:00:00+03:00,111,111
2025-03-14T01:00:00+03:00,111,111
2025-03-14T02:00:00+03:00,105,105
2025-03-14T03:00:00+03:00,109,109
2025-03-14T04:00:00+03:00,75,75
2025-03-14T05:00:00+03:00,55,55
2025-03-14T06:00:00+03:00,58,58
2025-03-14T07:00:00+03:00,82,82
2025-03-14T08:00:00+03:00,80,80
2025-03-14T09:00:00+03:00,88,88
2025-03-14T10:00:00+03:00,74,74
2025-03-14T11:00:00+03:00,59,59
2025-03-14T12:00:00+03:00,47,47
2025-03-14T13:00:00+03:00,49,49
2025-03-14T14:00:00+03:00,66,66
2025-03-14T15:00:00+03:00,78,78
2025-03-14T16:00:00+03:00,80,80
2025-03-14T17:00:00+03:00,75,75
2025-03-14T18:00:00+03:00,64,64
2025-03-14T19:00:00+03:00,71,71
2025-03-14T20:00:00+03:00,24,24
2025-03-14T21:00:00+03:00,38,38
2025-03-14T22:00:00+03:00,55,55
2025-03-14T23:00:00+03:00,60,60
2025-03-15T00:00:00+03:00,69,69
2025-03-15T01:00:00+03:00,57,57
2025-03-15T02:00:00+03:00,86,86
2025-03-15T03:00:00+03:00,94,94
2025-03-15T04:00:00+03:00,86,86
2025-03-15T05:00:00+03:00,88,88
2025-03-15T06:00:00+03:00,90,90
2025-03-15T07:00:00+03:00,96,96
2025-03-15T08:00:00+03:00,89,89
2025-03-15T09:00:00+03:00,86,86
2025-03-15T10:00:00+03:00,88,88
2025-03-15T11:00:00+03:00,81,81
2025-03-15T12:00:00+03:00,67,67
2025-03-15T13:00:00+03:00,49,49
2025-03-15T14:00:00+03:00,40,40
2025-03-15T15:00:00+03:00,30,30
2025-03-15T16:00:00+03:00,55,55
2025-03-15T17:00:00+03:00,82,82
2025-03-15T18:00:00+03:00,88,88
2025-03-15T19:00:00+03:00,98,98
2025-03-15T20:00:00+03:00,94,94
2025-03-15T21:00:00+03:00,98,98
2025-03-15T22:00:00+03:00,101,101
2025-03-15T23:00:00+03:00,106,106
2025-03-16T00:00:00+03:00,103,103
2025-03-16T01:00:00+03:00,99,99
2025-03-16T02:00:00+03:00,100,100
2025-03-16T03:00:00+03:00,107,107
2025-03-16T04:00:00+03:00,105,105
2025-03-16T05:00:00+03:00,109,109
2025-03-16T06:00:00+03:00,106,106
2025-03-16T07:00:00+03:00,108,108
2025-03-16T08:00:00+03:00,112,112
2025-03-16T09:00:00+03:00,109,109
2025-03-16T10:00:00+03:00,76,76
2025-03-16T11:00:00+03:00,0,0
2025-03-16T12:00:00+03:00,0,0
2025-03-16T13:00:00+03:00,42,42
2025-03-16T14:00:00+03:00,65,65
2025-03-16T15:00:00+03:00,71,71
2025-03-16T16:00:00+03:00,115,115
2025-03-16T17:00:00+03:00,92,92
2025-03-16T18:00:00+03:00,30,30
2025-03-16T19:00:00+03:00,14,14
2025-03-16T20:00:00+03:00,45,45
2025-03-16T21:00:00+03:00,33,33
2025-03-16T22:00:00+03:00,28,28
2025-03-16T23:00:00+03:00,40,40
2025-03-17T00:00:00+03:00,30,30
2025-03-17T01:00:00+03:00,13,13
2025-03-17T02:00:00+03:00,9,9
2025-03-17T03:00:00+03:00,6,6
2025-03-17T04:00:00+03:00,0,0
2025-03-17T05:00:00+03:00,0,0
2025-03-17T06:00:00+03:00,17,17
2025-03-17T07:00:00+03:00,37,37
2025-03-17T08:00:00+03:00,50,50
2025-03-17T09:00:00+03:00,61,61
2025-03-17T10:00:00+03:00,64,64
2025-03-17T11:00:00+03:00,45,45
2025-03-17T12:00:00+03:00,44,44
2025-03-17T13:00:00+03:00,40,40
2025-03-17T14:00:00+03:00,25,25
2025-03-17T15:00:00+03:00,10,10
2025-03-17T16:00:00+03:00,15,15
2025-03-17T17:00:00+03:00,11,11
2025-03-17T18:00:00+03:00,18,18
2025-03-17T19:00:00+03:00,26,26
2025-03-17T20:00:00+03:00,23,23
2025-03-17T21:00:00+03:00,55,55
2025-03-17T22:00:00+03:00,54,54
2025-03-17T23:00:00+03:00,19,19
2025-03-18T00:00:00+03:00,15,15
2025-03-18T01:00:00+03:00,80,80
2025-03-18T02:00:00+03:00,36,36
2025-03-18T03:00:00+03:00,47,47
2025-03-18T04:00:00+03:00,29,29
2025-03-18T05:00:00+03:00,49,49
2025-03-18T06:00:00+03:00,52,52
2025-03-18T07:00:00+03:00,59,59
2025-03-18T08:00:00+03:00,99,99
2025-03-18T09:00:00+03:00,107,107
2025-03-18T10:00:00+03:00,102,102
2025-03-18T11:00:00+03:00,103,103
2025-03-18T12:00:00+03:00,95,95
2025-03-18T13:00:00+03:00,105,105
2025-03-18T14:00:00+03:00,118,118
2025-03-18T15:00:00+03:00,111,111
2025-03-18T16:00:00+03:00,117,117
2025-03-18T17:00:00+03:00,114,114
2025-03-18T18:00:00+03:00,115,115
2025-03-18T19:00:00+03:00,117,117
2025-03-18T20:00:00+03:00,111,111
2025-03-18T21:00:00+03:00,105,105
2025-03-18T22:00:00+03:00,98,98
