CASE_ID,CASE_15
SANTRAL,BOZÜYÜK RES
ACIKLAMA,10.04.2025 tarihinde saat 20:00'de 74 MW uretimden 0 MW'a ani dusus

# OLAY BILGILERI
Tarih,2025-04-10
Saat,20:00
Onceki_Uretim_MW,73.6
Sonraki_Uretim_MW,0.0
Kayip_MW,73.6
Dusus_Yuzde,100.0%

# SANTRAL BILGILERI (Kaynak: enerjiatlasi.com)
Kurulu_Guc,54 MW
Il,Bilecik
Isletmeci_Firma,Bozüyük Enerji
Turbin_Adedi,18
Yillik_Uretim,~150 GWh
Detay_URL,https://www.enerjiatlasi.com/ruzgar/


# EN YAKIN 3 METEOROLOJI ISTASYONU
# Kaynak: https://teknolojikkazalar.org/list/weather_station
Istasyon_No,Istasyon_Adi,Kod,Enlem,Boylam,Tip,Organizasyon
17702,Bozüyük,BOZY,39° 55' N,30° 02' E,B, T2,DMİ
17120,Bilecik,BILC,40° 09' N,29° 59' E,B, S, T2,DMİ
17124,Eskişehir Meydan,LTBY,39° 47' N,30° 35' E,M, S,DMİ

# GERCEK ZAMANLI URETIM (Olay oncesi/sonrasi 72 saat)
Tarih_Saat,Toplam_MWh,Ruzgar_MWh
2025-04-07T00:00:00+03:00,51.9,51.9
2025-04-07T01:00:00+03:00,45.9,45.9
2025-04-07T02:00:00+03:00,61.6,61.6
2025-04-07T03:00:00+03:00,53.2,53.2
2025-04-07T04:00:00+03:00,57,57
2025-04-07T05:00:00+03:00,60.3,60.3
2025-04-07T06:00:00+03:00,53.1,53.1
2025-04-07T07:00:00+03:00,43.11,43.11
2025-04-07T08:00:00+03:00,46.04,46.04
2025-04-07T09:00:00+03:00,57.34,57.34
2025-04-07T10:00:00+03:00,62.96,62.96
2025-04-07T11:00:00+03:00,56.81,56.81
2025-04-07T12:00:00+03:00,60.7,60.7
2025-04-07T13:00:00+03:00,64.43,64.43
2025-04-07T14:00:00+03:00,65.83,65.83
2025-04-07T15:00:00+03:00,67.09,67.09
2025-04-07T16:00:00+03:00,50.28,50.28
2025-04-07T17:00:00+03:00,38.54,38.54
2025-04-07T18:00:00+03:00,34.9,34.9
2025-04-07T19:00:00+03:00,38.67,38.67
2025-04-07T20:00:00+03:00,26.09,26.09
2025-04-07T21:00:00+03:00,23.47,23.47
2025-04-07T22:00:00+03:00,17.56,17.56
2025-04-07T23:00:00+03:00,10.15,10.15
