# WRF SIMULASYON PARAMETRELERI - 15 HARD CUT-OFF CASE
# Optimal Süre: 48 saat (12h spin-up + 24h olay öncesi + 12h olay sonrası)
"# Domain: D01=27km, D02=9km, D03=3km nested"
# Boundary: ERA5 veya GFS 6-saatlik

Case_ID,Santral,Il,Lat,Lon,Olay_Tarihi,Kayip_MW,WRF_Start,WRF_End,Analysis_Start,Analysis_End,Toplam_Saat,D03_Ref_Lat,D03_Ref_Lon
CASE_01,KANGAL RES,Sivas,39.15,37.35,2024-12-14 00:00,120.7,2024-12-12_12:00:00,2024-12-14_12:00:00,2024-12-13 00:00,2024-12-14 12:00,48,39.15,37.35
CASE_02,GÜLPINAR RES,Çanakkale,39.48,26.08,2025-03-27 08:00,109.1,2025-03-25_20:00:00,2025-03-27_20:00:00,2025-03-26 08:00,2025-03-27 20:00,48,39.48,26.08
CASE_03,İSTANBUL RES,İstanbul,41.18,28.35,2025-03-16 11:00,108.8,2025-03-14_23:00:00,2025-03-16_23:00:00,2025-03-15 11:00,2025-03-16 23:00,48,41.18,28.35
CASE_04,TATLIPINAR RES,Balıkesir,39.75,28.15,2025-03-16 10:00,104.2,2025-03-14_22:00:00,2025-03-16_22:00:00,2025-03-15 10:00,2025-03-16 22:00,48,39.75,28.15
CASE_05,GÜLPINAR RES,Çanakkale,39.48,26.08,2025-03-16 10:00,97.7,2025-03-14_22:00:00,2025-03-16_22:00:00,2025-03-15 10:00,2025-03-16 22:00,48,39.48,26.08
CASE_06,KANGAL RES,Sivas,39.15,37.35,2024-10-18 04:00,89.4,2024-10-16_16:00:00,2024-10-18_16:00:00,2024-10-17 04:00,2024-10-18 16:00,48,39.15,37.35
CASE_07,EVRENCİK RES,Kırklareli,41.55,27.45,2025-03-16 22:00,88.6,2025-03-15_10:00:00,2025-03-17_10:00:00,2025-03-15 22:00,2025-03-17 10:00,48,41.55,27.45
CASE_08,ÜÇPINAR RES,Balıkesir,39.68,28.1,2025-03-16 11:00,87.0,2025-03-14_23:00:00,2025-03-16_23:00:00,2025-03-15 11:00,2025-03-16 23:00,48,39.68,28.1
CASE_09,EVRENCİK RES,Kırklareli,41.55,27.45,2025-03-16 10:00,80.9,2025-03-14_22:00:00,2025-03-16_22:00:00,2025-03-15 10:00,2025-03-16 22:00,48,41.55,27.45
CASE_10,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),Manisa,38.92,27.58,2024-12-21 23:00,79.5,2024-12-20_11:00:00,2024-12-22_11:00:00,2024-12-20 23:00,2024-12-22 11:00,48,38.92,27.58
CASE_11,TAŞPINAR RES(GALATA WİND),İstanbul,41.12,28.42,2025-03-16 11:00,77.2,2025-03-14_23:00:00,2025-03-16_23:00:00,2025-03-15 11:00,2025-03-16 23:00,48,41.12,28.42
CASE_12,SAROS RES,Çanakkale,40.35,26.55,2025-01-28 14:00,77.1,2025-01-27_02:00:00,2025-01-29_02:00:00,2025-01-27 14:00,2025-01-29 02:00,48,40.35,26.55
CASE_13,GÖKTEPE RES,Yalova,40.55,29.25,2025-03-16 11:00,76.0,2025-03-14_23:00:00,2025-03-16_23:00:00,2025-03-15 11:00,2025-03-16 23:00,48,40.55,29.25
CASE_14,ZONGULDAK RES,Sakarya,40.72,30.18,2025-03-16 11:00,73.9,2025-03-14_23:00:00,2025-03-16_23:00:00,2025-03-15 11:00,2025-03-16 23:00,48,40.72,30.18
CASE_15,BOZÜYÜK RES,Bilecik,39.92,30.05,2025-04-10 20:00,73.6,2025-04-09_08:00:00,2025-04-11_08:00:00,2025-04-09 20:00,2025-04-11 08:00,48,39.92,30.05
