month,plant,datetime,prev,curr,drop,drop_pct
2024-10,EBER RES,2024-10-22 19:00:00+03:00,61.72,0.0,61.72,100.0
2024-10,EBER RES,2024-10-29 09:00:00+03:00,60.62,0.0,60.62,100.0
2024-10,GÖKTEPE RES,2024-10-31 23:00:00+03:00,53.98,6.16,47.81999999999999,88.58836606150426
2024-10,KANGAL RES,2024-10-18 04:00:00+03:00,89.43,0.0,89.43,100.0
2024-10,KIYIKÖY RES,2024-10-10 22:00:00+03:00,70.98,5.91,65.07000000000001,91.67371090448015
2024-10,KIYIKÖY RES,2024-10-18 06:00:00+03:00,70.13,9.05,61.08,87.0953942677884
2024-10,TAŞPINAR RES(GALATA WİND),2024-10-29 21:00:00+03:00,56.28,0.0,56.28,100.0
2024-10,İSTANBUL RES,2024-10-07 01:00:00+03:00,60.64,7.75,52.89,87.21965699208444
2024-11,EVRENCİK RES,2024-11-23 07:00:00+03:00,59.76,4.99,54.769999999999996,91.64993306559572
2024-11,KIYIKÖY RES,2024-11-10 23:00:00+03:00,52.56,6.96,45.6,86.7579908675799
2024-11,KIYIKÖY RES,2024-11-11 23:00:00+03:00,55.26,7.76,47.5,85.95729279768368
2024-11,KIYIKÖY RES,2024-11-12 06:00:00+03:00,65.31,8.25,57.06,87.36793752870923
2024-11,KIYIKÖY RES,2024-11-16 22:00:00+03:00,54.17,7.59,46.58,85.9885545504892
2024-11,KIYIKÖY RES,2024-11-21 16:00:00+03:00,60.27,5.32,54.95,91.17305458768872
2024-11,KIYIKÖY RES,2024-11-30 15:00:00+03:00,51.79,9.41,42.379999999999995,81.83046920254876
2024-11,SİLİVRİ RES,2024-11-24 08:00:00+03:00,55.2,6.11,49.09,88.93115942028984
2024-11,TAŞPINAR RES(GALATA WİND),2024-11-24 06:00:00+03:00,72.32,0.0,72.32,100.0
2024-12,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),2024-12-21 23:00:00+03:00,82.91,3.45,79.46,95.83886141599324
2024-12,BOZÜYÜK RES,2024-12-22 04:00:00+03:00,53.9,8.3,45.599999999999994,84.60111317254173
2024-12,GÖKTEPE RES,2024-12-10 22:00:00+03:00,77.34,9.11,68.23,88.22084303077321
2024-12,KANGAL RES,2024-12-14 00:00:00+03:00,120.7,0.0,120.7,100.0
2024-12,KANGAL RES,2024-12-22 08:00:00+03:00,77.8,4.75,73.05,93.89460154241645
2024-12,KIYIKÖY RES,2024-12-08 03:00:00+03:00,57.69,9.08,48.61,84.2607037614838
2024-12,KIYIKÖY RES,2024-12-09 15:00:00+03:00,50.81,8.37,42.440000000000005,83.52686479039559
2024-12,KIYIKÖY RES,2024-12-21 22:00:00+03:00,71.85,9.86,61.989999999999995,86.27696590118302
2024-12,KOCATEPE RES(İzdem),2024-12-15 08:00:00+03:00,71.31,0.0,71.31,100.0
2024-12,SÜLOĞLU RES,2024-12-29 12:00:00+03:00,58.96,1.23,57.730000000000004,97.91383989145184
2024-12,SİLİVRİ RES,2024-12-03 08:00:00+03:00,59.21,0.0,59.21,100.0
2024-12,TAŞPINAR RES(GALATA WİND),2024-12-11 03:00:00+03:00,57.74,4.48,53.260000000000005,92.24108070661588
2024-12,TAŞPINAR RES(GALATA WİND),2024-12-20 02:00:00+03:00,63.0,0.0,63.0,100.0
2024-12,TAŞPINAR RES(GALATA WİND),2024-12-21 00:00:00+03:00,71.13,0.0,71.13,100.0
2024-12,İSTANBUL RES,2024-12-21 14:00:00+03:00,55.64,1.47,54.17,97.35801581595975
2025-01,EVRENCİK RES,2025-01-04 08:00:00+03:00,74.57,9.11,65.46,87.78329086764114
2025-01,KIYIKÖY RES,2025-01-09 14:00:00+03:00,56.91,8.24,48.669999999999995,85.52099806712351
2025-01,KIYIKÖY RES,2025-01-10 06:00:00+03:00,54.11,6.81,47.3,87.41452596562557
2025-01,KIYIKÖY RES,2025-01-14 23:00:00+03:00,75.12,8.66,66.46000000000001,88.47177848775294
2025-01,SAROS RES,2025-01-26 07:00:00+03:00,62.53,0.0,62.53,100.0
2025-01,SAROS RES,2025-01-28 09:00:00+03:00,65.5,0.0,65.5,100.0
2025-01,SAROS RES,2025-01-28 14:00:00+03:00,77.13,0.0,77.13,100.0
2025-02,KIYIKÖY RES,2025-02-10 23:00:00+03:00,55.48,8.58,46.9,84.534967555876
2025-03,ATARES-1 RES,2025-03-16 11:00:00+03:00,56.09,0.0,56.09,100.0
2025-03,ATARES-2 RES,2025-03-16 11:00:00+03:00,66.87,0.0,66.87,100.0
2025-03,BERGRES RES,2025-03-16 11:00:00+03:00,59.74,1.32,58.42,97.79042517576163
2025-03,DENİZLİ RES,2025-03-31 10:00:00+03:00,58.0,0.0,58.0,100.0
2025-03,EVRENCİK RES,2025-03-16 10:00:00+03:00,80.89,0.0,80.89,100.0
2025-03,EVRENCİK RES,2025-03-16 22:00:00+03:00,97.26,8.68,88.58000000000001,91.07546781821921
2025-03,GEYVE RES,2025-03-16 11:00:00+03:00,52.7,0.0,52.7,100.0
2025-03,GÖKTEPE RES,2025-03-16 11:00:00+03:00,76.0,0.0,76.0,100.0
2025-03,GÖKTEPE RES,2025-03-26 08:00:00+03:00,51.0,0.0,51.0,100.0
2025-03,GÜLPINAR RES,2025-03-16 10:00:00+03:00,97.72,0.0,97.72,100.0
