plant,datetime,prev,curr,drop,drop_pct
BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),2024-12-21 23:00:00+03:00,82.91,3.45,79.46,95.83886141599324
BOZÜYÜK RES,2024-12-22 04:00:00+03:00,53.9,8.3,45.599999999999994,84.60111317254173
GÖKTEPE RES,2024-12-10 22:00:00+03:00,77.34,9.11,68.23,88.22084303077321
KANGAL RES,2024-12-14 00:00:00+03:00,120.7,0.0,120.7,100.0
KANGAL RES,2024-12-22 08:00:00+03:00,77.8,4.75,73.05,93.89460154241644
KIYIKÖY RES,2024-12-08 03:00:00+03:00,57.69,9.08,48.61,84.2607037614838
KIYIKÖY RES,2024-12-09 15:00:00+03:00,50.81,8.37,42.440000000000005,83.52686479039559
KIYIKÖY RES,2024-12-21 22:00:00+03:00,71.85,9.86,61.989999999999995,86.27696590118302
KOCATEPE RES(İzdem),2024-12-15 08:00:00+03:00,71.31,0.0,71.31,100.0
SÜLOĞLU RES,2024-12-29 12:00:00+03:00,58.96,1.23,57.73,97.91383989145184
SİLİVRİ RES,2024-12-03 08:00:00+03:00,59.21,0.0,59.21,100.0
TAŞPINAR RES(GALATA WİND),2024-12-11 03:00:00+03:00,57.74,4.48,53.260000000000005,92.24108070661588
TAŞPINAR RES(GALATA WİND),2024-12-20 02:00:00+03:00,63.0,0.0,63.0,100.0
TAŞPINAR RES(GALATA WİND),2024-12-21 00:00:00+03:00,71.13,0.0,71.13,100.0
İSTANBUL RES,2024-12-21 14:00:00+03:00,55.64,1.47,54.17,97.35801581595976
