plant,datetime,prev,curr,drop,drop_pct
ATARES-1 RES,2025-03-16 11:00:00+03:00,56.09,0.0,56.09,100.0
ATARES-2 RES,2025-03-16 11:00:00+03:00,66.87,0.0,66.87,100.0
BERGRES RES,2025-03-16 11:00:00+03:00,59.74,1.32,58.42,97.79042517576164
DENİZLİ RES,2025-03-31 10:00:00+03:00,58.0,0.0,58.0,100.0
EVRENCİK RES,2025-03-16 10:00:00+03:00,80.89,0.0,80.89,100.0
EVRENCİK RES,2025-03-16 22:00:00+03:00,97.26,8.68,88.58000000000001,91.0754678182192
GEYVE RES,2025-03-16 11:00:00+03:00,52.7,0.0,52.7,100.0
GÖKTEPE RES,2025-03-16 11:00:00+03:00,76.0,0.0,76.0,100.0
GÖKTEPE RES,2025-03-26 08:00:00+03:00,51.0,0.0,51.0,100.0
GÜLPINAR RES,2025-03-16 10:00:00+03:00,97.72,0.0,97.72,100.0
GÜLPINAR RES,2025-03-26 16:00:00+03:00,56.53,3.78,52.75,93.3132849814258
GÜLPINAR RES,2025-03-27 08:00:00+03:00,118.15,9.04,109.11,92.34870926787984
KIYIKÖY RES,2025-03-16 22:00:00+03:00,56.92,6.16,50.760000000000005,89.17779339423754
KIYIKÖY RES,2025-03-28 10:00:00+03:00,72.98,7.92,65.06,89.14771170183612
KOCATEPE RES(İzdem),2025-03-31 10:00:00+03:00,71.59,0.0,71.59,100.0
KUŞADASI RES,2025-03-28 03:00:00+03:00,75.18,6.88,68.30000000000001,90.84862995477522
KUŞADASI RES,2025-03-31 10:00:00+03:00,66.03,5.63,60.4,91.47357261850674
OVACIK RES,2025-03-31 22:00:00+03:00,50.6,0.0,50.6,100.0
SÜLOĞLU RES,2025-03-18 23:00:00+03:00,66.0,0.0,66.0,100.0
TATLIPINAR RES,2025-03-16 10:00:00+03:00,111.42,7.24,104.18,93.50206426135344
TAŞPINAR RES(GALATA WİND),2025-03-16 11:00:00+03:00,77.19,0.0,77.19,100.0
VİZE-2 RES,2025-03-16 22:00:00+03:00,67.41,7.65,59.76,88.65153538050734
ZONGULDAK RES,2025-03-16 11:00:00+03:00,74.49,0.63,73.86,99.1542488924688
ÖMERLİ RES(BETİM),2025-03-28 15:00:00+03:00,68.23,4.26,63.970000000000006,93.7564121354243
ÜÇPINAR RES,2025-03-16 11:00:00+03:00,87.0,0.0,87.0,100.0
İSTANBUL RES,2025-03-16 11:00:00+03:00,108.79,0.0,108.79,100.0
