plant,datetime,prev,curr,drop,drop_pct
ATAKALE RES,2025-04-22 21:00:00+03:00,68.61,0.0,68.61,100.0
ATAKALE RES,2025-04-25 18:00:00+03:00,56.96,6.6,50.36,88.4129213483146
BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),2025-04-24 02:00:00+03:00,64.82,6.69,58.129999999999995,89.67911138537488
BOZÜYÜK RES,2025-04-10 20:00:00+03:00,73.6,0.0,73.6,100.0
CERİT RES_(PAKMEM),2025-04-29 13:00:00+03:00,53.05,7.19,45.86,86.44674835061264
DENİZLİ RES,2025-04-24 13:00:00+03:00,52.0,8.0,44.0,84.61538461538461
EBER RES,2025-04-07 09:00:00+03:00,57.06,0.0,57.06,100.0
KIYIKÖY RES,2025-04-02 06:00:00+03:00,54.1,9.74,44.36,81.99630314232903
KUŞADASI RES,2025-04-30 18:00:00+03:00,58.78,6.25,52.53,89.36713167744131
MASLAKTEPE RES(ENİ),2025-04-01 01:00:00+03:00,54.58,2.8,51.78,94.86991572004398
MUTLU RES 5,2025-04-20 04:00:00+03:00,73.5,0.0,73.5,100.0
YAHYALI RES(BAK),2025-04-22 14:00:00+03:00,51.1,9.5,41.6,81.40900195694715
