Istasyon_No,Istasyon_Adi,YIL,AY,GUN,SAAT,wind_dir_deg,wind_speed_ms,temp_c,pressure_hpa,rh_pct,precip_mm,datetime_utc,datetime_local
17052,KIRKLARELİ,2025,3,15,0,107.0,1.6,13.0,989.1,73.0,0.0,2025-03-15 00:00:00,2025-03-15 03:00:00
17052,KIRKLARELİ,2025,3,15,1,93.0,2.1,13.5,989.2,66.0,0.0,2025-03-15 01:00:00,2025-03-15 04:00:00
17052,KIRKLARELİ,2025,3,15,2,100.0,1.6,13.3,989.1,70.0,0.0,2025-03-15 02:00:00,2025-03-15 05:00:00
17052,KIRKLARELİ,2025,3,15,3,88.0,1.4,13.2,989.0,65.0,0.0,2025-03-15 03:00:00,2025-03-15 06:00:00
17052,KIRKLARELİ,2025,3,15,4,96.0,1.6,12.9,989.8,70.0,0.0,2025-03-15 04:00:00,2025-03-15 07:00:00
17052,KIRKLARELİ,2025,3,15,5,95.0,1.3,13.9,990.1,61.0,0.0,2025-03-15 05:00:00,2025-03-15 08:00:00
17052,KIRKLARELİ,2025,3,15,6,118.0,1.1,14.6,990.0,62.0,0.0,2025-03-15 06:00:00,2025-03-15 09:00:00
17052,KIRKLARELİ,2025,3,15,7,160.0,1.4,17.0,990.6,53.0,0.0,2025-03-15 07:00:00,2025-03-15 10:00:00
17052,KIRKLARELİ,2025,3,15,8,197.0,1.7,18.1,990.6,46.0,0.0,2025-03-15 08:00:00,2025-03-15 11:00:00
17052,KIRKLARELİ,2025,3,15,9,213.0,2.5,19.4,990.4,47.0,0.0,2025-03-15 09:00:00,2025-03-15 12:00:00
17052,KIRKLARELİ,2025,3,15,10,207.0,3.6,21.4,990.3,40.0,0.0,2025-03-15 10:00:00,2025-03-15 13:00:00
17052,KIRKLARELİ,2025,3,15,11,207.0,4.0,22.8,989.7,32.0,0.0,2025-03-15 11:00:00,2025-03-15 14:00:00
17052,KIRKLARELİ,2025,3,15,12,201.0,3.9,23.9,989.3,32.0,0.0,2025-03-15 12:00:00,2025-03-15 15:00:00
17052,KIRKLARELİ,2025,3,15,13,204.0,4.3,23.6,988.8,30.0,0.0,2025-03-15 13:00:00,2025-03-15 16:00:00
17052,KIRKLARELİ,2025,3,15,14,200.0,3.0,24.7,988.3,30.0,0.0,2025-03-15 14:00:00,2025-03-15 17:00:00
17052,KIRKLARELİ,2025,3,15,15,196.0,2.9,24.2,987.4,28.0,0.0,2025-03-15 15:00:00,2025-03-15 18:00:00
17052,KIRKLARELİ,2025,3,15,16,210.0,2.8,21.9,987.6,29.0,0.0,2025-03-15 16:00:00,2025-03-15 19:00:00
17052,KIRKLARELİ,2025,3,15,17,207.0,1.6,20.2,987.7,32.0,0.0,2025-03-15 17:00:00,2025-03-15 20:00:00
17052,KIRKLARELİ,2025,3,15,18,168.0,1.9,19.4,987.6,34.0,0.0,2025-03-15 18:00:00,2025-03-15 21:00:00
17052,KIRKLARELİ,2025,3,15,19,99.0,1.7,18.1,987.3,37.0,0.0,2025-03-15 19:00:00,2025-03-15 22:00:00
17052,KIRKLARELİ,2025,3,15,20,71.0,1.0,16.7,986.9,41.0,0.0,2025-03-15 20:00:00,2025-03-15 23:00:00
17052,KIRKLARELİ,2025,3,15,21,150.0,0.7,17.6,986.8,46.0,0.0,2025-03-15 21:00:00,2025-03-16 00:00:00
17052,KIRKLARELİ,2025,3,15,22,161.0,1.2,17.0,985.8,42.0,0.0,2025-03-15 22:00:00,2025-03-16 01:00:00
17052,KIRKLARELİ,2025,3,15,23,173.0,1.3,16.8,985.5,43.0,0.0,2025-03-15 23:00:00,2025-03-16 02:00:00
17052,KIRKLARELİ,2025,3,16,5,45.0,0.7,14.0,984.3,,,2025-03-16 05:00:00,2025-03-16 08:00:00
17052,KIRKLARELİ,2025,3,16,6,238.0,0.5,18.7,984.3,51.0,0.0,2025-03-16 06:00:00,2025-03-16 09:00:00
17052,KIRKLARELİ,2025,3,16,7,265.0,0.9,17.8,984.7,40.0,0.0,2025-03-16 07:00:00,2025-03-16 10:00:00
17052,KIRKLARELİ,2025,3,16,8,223.0,1.5,19.1,984.0,40.0,0.0,2025-03-16 08:00:00,2025-03-16 11:00:00
17052,KIRKLARELİ,2025,3,16,9,227.0,3.2,20.2,983.4,40.0,0.0,2025-03-16 09:00:00,2025-03-16 12:00:00
17052,KIRKLARELİ,2025,3,16,10,244.0,4.3,21.8,983.3,37.0,0.0,2025-03-16 10:00:00,2025-03-16 13:00:00
17052,KIRKLARELİ,2025,3,16,11,216.0,4.4,23.3,981.9,36.0,0.0,2025-03-16 11:00:00,2025-03-16 14:00:00
17052,KIRKLARELİ,2025,3,16,12,228.0,5.9,22.6,981.7,36.0,0.0,2025-03-16 12:00:00,2025-03-16 15:00:00
17052,KIRKLARELİ,2025,3,16,13,230.0,5.1,21.6,981.3,41.0,0.0,2025-03-16 13:00:00,2025-03-16 16:00:00
17052,KIRKLARELİ,2025,3,16,14,233.0,3.9,20.9,981.0,45.0,0.0,2025-03-16 14:00:00,2025-03-16 17:00:00
17052,KIRKLARELİ,2025,3,16,15,232.0,4.4,19.8,980.7,46.0,0.0,2025-03-16 15:00:00,2025-03-16 18:00:00
17052,KIRKLARELİ,2025,3,16,16,229.0,3.9,18.7,980.7,51.0,0.0,2025-03-16 16:00:00,2025-03-16 19:00:00
17052,KIRKLARELİ,2025,3,16,17,278.0,3.3,17.1,981.5,57.0,0.0,2025-03-16 17:00:00,2025-03-16 20:00:00
17052,KIRKLARELİ,2025,3,16,18,2.0,4.5,17.9,982.5,50.0,0.0,2025-03-16 18:00:00,2025-03-16 21:00:00
17052,KIRKLARELİ,2025,3,16,19,24.0,3.0,16.8,983.0,53.0,0.0,2025-03-16 19:00:00,2025-03-16 22:00:00
17052,KIRKLARELİ,2025,3,16,20,140.0,1.2,15.4,983.4,57.0,0.0,2025-03-16 20:00:00,2025-03-16 23:00:00
17052,KIRKLARELİ,2025,3,16,21,56.0,0.7,13.9,983.0,63.0,0.0,2025-03-16 21:00:00,2025-03-17 00:00:00
17052,KIRKLARELİ,2025,3,16,22,59.0,2.1,13.0,982.8,64.0,0.0,2025-03-16 22:00:00,2025-03-17 01:00:00
17052,KIRKLARELİ,2025,3,16,23,64.0,1.9,13.6,982.3,64.0,0.0,2025-03-16 23:00:00,2025-03-17 02:00:00
17052,KIRKLARELİ,2025,3,17,0,73.0,1.2,11.5,982.5,69.0,,2025-03-17 00:00:00,2025-03-17 03:00:00
17052,KIRKLARELİ,2025,3,17,1,61.0,1.6,10.9,981.7,72.0,,2025-03-17 01:00:00,2025-03-17 04:00:00
17052,KIRKLARELİ,2025,3,17,2,73.0,2.3,11.1,981.3,72.0,,2025-03-17 02:00:00,2025-03-17 05:00:00
17052,KIRKLARELİ,2025,3,17,3,60.0,1.6,10.4,981.2,74.0,,2025-03-17 03:00:00,2025-03-17 06:00:00
17052,KIRKLARELİ,2025,3,17,4,59.0,1.8,10.5,981.1,73.0,,2025-03-17 04:00:00,2025-03-17 07:00:00
17052,KIRKLARELİ,2025,3,17,5,56.0,1.9,11.0,980.9,75.0,,2025-03-17 05:00:00,2025-03-17 08:00:00
17052,KIRKLARELİ,2025,3,17,6,66.0,2.1,13.7,980.6,69.0,0.0,2025-03-17 06:00:00,2025-03-17 09:00:00
17052,KIRKLARELİ,2025,3,17,7,80.0,1.6,15.2,980.3,62.0,0.0,2025-03-17 07:00:00,2025-03-17 10:00:00
17052,KIRKLARELİ,2025,3,17,8,118.0,1.8,15.9,979.8,61.0,0.0,2025-03-17 08:00:00,2025-03-17 11:00:00
17052,KIRKLARELİ,2025,3,17,9,126.0,2.4,16.5,979.8,55.0,0.0,2025-03-17 09:00:00,2025-03-17 12:00:00
