date,hour,total,naturalGas,dammedHydro,lignite,river,importCoal,wind,sun,fueloil,geothermal,asphaltiteCoal,blackCoal,biomass,naphta,lng,importExport,wasteheat
2025-03-01T00:00:00+03:00,00:00,37650.1,12958.59,4668.69,3989.44,1250.08,10023.34,2122.48,0.01,49.2,1380.01,198.72,585.72,983.39,0,0,-629.09,69.52
2025-03-01T01:00:00+03:00,01:00,36387.43,13289.51,3148.5,3994.04,1212.19,10021.81,2081.45,0.01,49.17,1382.07,165.59,602.43,991.49,0,0,-622.2,71.37
2025-03-01T02:00:00+03:00,02:00,34933.03,13161.23,2083.25,3982.99,965.63,10020.94,2123.79,0.01,48.76,1375.9,161.17,606.34,993.46,0,0,-665.49,75.05
2025-03-01T03:00:00+03:00,03:00,34907.41,13200.83,2010.53,4081.06,916.0,10027.59,2089.66,0.01,48.78,1383.9,163.38,597.63,984.73,0,0,-671.55,74.86
2025-03-01T04:00:00+03:00,04:00,35641.65,13154.64,2637.16,4151.25,1036.09,10028.28,2061.21,0.01,48.79,1393.03,165.59,608.6,984.63,0,0,-697.71,70.08
2025-03-01T05:00:00+03:00,05:00,36063.1,13152.46,3168.38,4168.27,988.15,10020.15,2022.93,0.19,47.09,1374.88,163.38,601.5,984.63,0,0,-699.2,70.29
2025-03-01T06:00:00+03:00,06:00,35084.3,13007.12,2489.87,4156.36,980.21,10026.04,1822.62,23.23,47.1,1373.71,163.38,631.7,979.52,0,0,-690.4,73.84
2025-03-01T07:00:00+03:00,07:00,33193.78,11804.24,1970.07,3988.14,983.41,9966.18,1777.83,122.88,47.1,1374.51,167.8,593.05,979.83,0,0,-652.81,71.55
2025-03-01T08:00:00+03:00,08:00,33866.63,10976.06,2507.94,4122.97,1284.29,9968.01,1688.01,745.35,47.09,1386.44,167.8,600.12,976.54,0,0,-681.46,77.47
2025-03-01T09:00:00+03:00,09:00,33027.09,9627.64,2519.43,4108.93,1267.26,9976.53,1416.93,1523.36,46.9,1378.52,163.38,591.67,973.47,0,0,-639.45,72.52
