plant_name,datetime,prev_production,production,drop_mw,drop_pct,max_capacity,is_zero
AKDAĞ RES(AHSEN ENR.),2025-03-19 02:00:00+03:00,18.9,0.06,18.84,99.6825396825397,22.95,True
AKKÖY RES(ENERJİSA),2025-03-04 14:00:00+03:00,21.32,0.0,21.32,100.0,25.1,True
AKKÖY RES(ENERJİSA),2025-03-05 09:00:00+03:00,21.5,0.0,21.5,100.0,25.1,True
AKYEL-2 RES,2025-03-20 17:00:00+03:00,15.79,0.0,15.79,100.0,15.96,True
ATARES-1 RES,2025-03-16 11:00:00+03:00,56.09,0.0,56.09,100.0,71.02,True
ATARES-2 RES,2025-03-16 11:00:00+03:00,66.87,0.0,66.87,100.0,90.7,True
ATİK RES (GÜRİŞ),2025-03-19 20:00:00+03:00,8.0,1.0,7.0,87.5,11.0,True
AYDOS RES,2025-03-03 12:00:00+03:00,13.43,0.0,13.43,100.0,14.09,True
AİRRES-4 RES,2025-03-16 22:00:00+03:00,43.91,2.87,41.04,93.4639034388522,55.0,False
BARBAROS RES,2025-03-11 22:00:00+03:00,8.31,1.04,7.2700000000000005,87.48495788206979,11.6,False
BAĞARASI RES,2025-03-28 04:00:00+03:00,35.29,3.93,31.36,88.86370076508926,46.01,False
BERGRES RES,2025-03-16 11:00:00+03:00,59.74,1.32,58.42,97.79042517576163,68.0,False
DENİZLİ RES,2025-03-31 10:00:00+03:00,58.0,0.0,58.0,100.0,66.0,True
ELMALI RES(ELMALI ENR.),2025-03-04 00:00:00+03:00,3.11,0.0,3.11,100.0,3.4,True
ERTAN RES,2025-03-08 16:00:00+03:00,7.64,0.0,7.64,100.0,10.37,True
ERTAN RES,2025-03-28 15:00:00+03:00,8.05,0.5,7.550000000000001,93.7888198757764,10.37,True
GAZİ RES(ARI EN),2025-03-28 15:00:00+03:00,4.94,0.43,4.510000000000001,91.29554655870446,4.96,True
GAZİOSMANPAŞA RES,2025-03-28 15:00:00+03:00,45.03,3.07,41.96,93.18232289584721,49.96,False
GERMİYAN RES(GÜRAL),2025-03-24 17:00:00+03:00,5.94,0.0,5.94,100.0,6.57,True
GÜLPINAR RES,2025-03-27 08:00:00+03:00,118.15,9.04,109.11000000000001,92.34870926787983,166.72,False
GÜRES BİYOKÜTLE ENERJİ SANTRALİ,2025-03-01 13:00:00+03:00,1.98,0.21,1.77,89.39393939393939,2.27,True
GÜRES BİYOKÜTLE ENERJİ SANTRALİ,2025-03-24 00:00:00+03:00,2.23,0.0,2.23,100.0,2.27,True
GÜRES BİYOKÜTLE ENERJİ SANTRALİ,2025-03-27 11:00:00+03:00,2.16,0.03,2.1300000000000003,98.61111111111111,2.27,True
HAMSİ RES,2025-03-16 02:00:00+03:00,33.32,0.0,33.32,100.0,34.98,True
KANİJE RES,2025-03-28 12:00:00+03:00,36.66,1.7,34.959999999999994,95.36279323513365,48.05,False
KARABEL RES,2025-03-11 23:00:00+03:00,2.94,0.0,2.94,100.0,3.0,True
KARABEL RES,2025-03-12 23:00:00+03:00,2.96,0.0,2.96,100.0,3.0,True
KARADAĞ RES(BOYUT),2025-03-24 21:00:00+03:00,16.2,0.0,16.2,100.0,16.24,True
KIYIKÖY RES,2025-03-28 10:00:00+03:00,72.98,7.92,65.06,89.14771170183612,96.54,False
KIZILCATERZİ RES,2025-03-25 17:00:00+03:00,11.8,1.2,10.600000000000001,89.83050847457628,12.0,False
KOCATEPE RES(İzdem),2025-03-31 10:00:00+03:00,71.59,0.0,71.59,100.0,96.26,True
MAHMUT ŞEVKET PAŞA-1 RES,2025-03-28 15:00:00+03:00,7.67,0.09,7.58,98.82659713168188,8.0,True
OVACIK RES,2025-03-31 22:00:00+03:00,50.6,0.0,50.6,100.0,50.6,True
OVACIK RES,2025-03-27 11:00:00+03:00,12.73,0.0,12.73,100.0,18.0,True
SÜLOĞLU RES,2025-03-18 23:00:00+03:00,66.0,0.0,66.0,100.0,66.89,True
TAŞPINAR RES(GALATA WİND),2025-03-16 11:00:00+03:00,77.19,0.0,77.19,100.0,80.5,True
YILMAZ RES,2025-03-27 12:00:00+03:00,10.11,0.55,9.559999999999999,94.55984174085063,12.51,True
ÇATALTEPE RES(SÜPER ELK.),2025-03-28 15:00:00+03:00,8.75,0.98,7.77,88.79999999999998,9.99,True
ÇAYPINAR RES,2025-03-04 17:00:00+03:00,27.45,0.0,27.45,100.0,28.18,True
ÖRLEMİŞ RES,2025-03-28 01:00:00+03:00,42.34,4.24,38.1,89.98582900330656,52.82,False
