powerPlantId,name,eic,shortName
16783,ADAPAZARI RES,40W000000016783N,
9763,AKBÜK II RES,40W000000009763K,
11987,AKDAĞ RES(AHSEN ENR.),40W000000011987W,
15723,AKKUŞ RES,40W0000000157239,
5001260,AKKÖY RES(ENERJİSA),40W0000050012609,
15283,AKYEL-1 RES,40W000000015283B,
15284,AKYEL-2 RES,40W0000000152849,
10424,AKYURT RES,40W0000000104247,
13803,AKÇA RES,40W000000013803L,
17845,ALARES-2 RES,40W000000017845M,
10064,ALAÇATI RES(EGENDA EGE ENR.),40W000000010064B,
12345,ALİBEY RES,40W000000012345U,
15125,ALİBEYHÜYÜĞÜ RES,40W000000015125T,
10102,AMASYA RES,40W000000010102T,
15983,ANDOZ RES,40W000000015983K,
12803,ARAPKİR RES,40W000000012803Q,
12164,ARDIÇLI RES(ES-YEL),40W000000012164Y,
5013381,ARMUTÇUK RES,40W000005013381I,
12427,ARZU RES,40W000000012427S,
16243,ATAKALE RES,40W000000016243I,
17963,ATARES-1 RES,40W000000017963G,
17909,ATARES-2 RES,40W000000017909M,
17463,AYDOS RES,40W100000017463N,
13683,AYVALIK-1 RES,40W0000000136835,
10902,AİRRES-4 RES,40W000000010902Y,
14963,BAFA RES,40W000000014963V,
10942,BARBAROS RES,40W000000010942M,
15203,BAĞLAMA RES,40W000000015203Z,
12183,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),40W000000012183U,
10301,BEREKETLİ RES,40W000000010301N,
12342,BERGAMA RES(AKBAŞLAR),40W100000012342N,
10903,BERGRES RES,40W000000010903W,
17503,BOZÜYÜK RES,40W000000017503D,
12355,CERİT RES_(PAKMEM),40W000000012355R,
5013205,DAMPINAR RES,40W0000050132051,
11905,DATÇA RES,40W000000011905N,
10082,DEMİRCİLER RES(İMBAT),40W0000000100829,
11635,DEMİRCİLİ RES,40W000000011635Q,
13163,DENİZLİ RES,40W000000013163V,
14983,DİKİLİ RES,40W000000014983P,
12324,EBER RES,40W0000000123241,
10461,ELMALI RES,40W0000000104611,
11705,ELMALI RES(ELMALI ENR.),40W000000011705V,
17964,ERTAN RES,40W000000017964E,
17905,ERİMEZ RES,40W000000017905U,
15443,EVRENCİK RES,40W000000015443F,
10584,FATMA RES,40W000000010584M,
17986,FENER RES,40W0000000179864,
15624,G RES,40W000000015624B,
12383,GAZİ RES(ARI EN),40W000000012383M,
15505,GAZİ-9 RES,40W000000015505J,
16083,GAZİOSMANPAŞA RES,40W000000016083E,
15623,GELİBOLU RES,40W000000015623D,
17827,GELİBOLU RES,40W000000017827O,
10013,GERMİYAN RES,40W000000010013S,
15905,GERMİYAN RES(GÜRAL),40W0000000159053,
11627,GERİŞ RES,40W000000011627P,
16545,GEYVE RES,40W0000000165452,
11703,GÖKDAĞ RES(İLETKEN ENR.),40W000000011703Z,
16224,GÖKTEPE RES,40W000000016224M,
15543,GÖKZİRVE RES,40W000000015543B,
13203,GÜLPINAR RES,40W0000000132038,
7580,GÜNDOĞDU RES(TÜRKAY),40W0000000075801,
15703,GÜNEY-1 RES,40W000000015703F,
12425,GÜRES BİYOKÜTLE ENERJİ SANTRALİ,40W000000012425W,
17344,GİRESUN ÇÖP GAZ ELEKTRİK ÜRETİM TESİSİ,40W0000000173447,
16745,HACI BEY RES,40W000000016745V,
5012281,HACIHIDIRLAR RES,40W000005012281R,
17985,HAMSİ RES,40W0000000179856,
11632,HAMZABEYLİ RES,40W000000011632W,
5003981,HARMANCIK RES,40W0000050039810,
13004,HASANOBA RES,40W000000013004E,
13503,HAVZA RES,40W000000013503X,
17886,ILGARDERE RES,40W0000000178868,
12082,KALFAKÖY RES,40W100000012082N,
17263,KANDIRA RES,40W0000000172637,
10541,KARABEL RES,40W0000000105413,
10587,KARACABEY RES,40W000000010587G,
10341,KARADAĞ RES(BOYUT),40W000000010341B,
17923,KARAMAN RES,40W000000017923S,
11462,KARAMENDERES HES,40W000000011462V,
16464,KARATEPE RES,40W0000000164642,
10421,KARAÇAYIR RES(MURSAL),40W000000010421D,
14883,KARLITEPE RES,40W000000014883T,
11549,KAROVA RES,40W000000011549J,
16203,KARTAL RES,40W000000016203U,
11023,KARTALDAĞI RES,40W000000011023K,
5013221,KESTANEDERESİ RES,40W0000050132213,
10621,KINIK RES(ESİNTİ),40W0000000106215,
10501,KIRKAĞAÇ RES,40W000000010501F,
13483,KIZILCATERZİ RES,40W000000013483D,
12482,KOCALAR RES(ISIDER),40W000000012482K,
13604,KOCATEPE RES(İzdem),40W000000013604R,
10502,KONAKPINAR RES,40W000000010502D,
13865,KORUDAĞI RES,40W100000013865N,
9703,KURTKAYASI RES(ARE),40W0000000097031,
12262,KURTİNİ RES,40W000000012262Y,
15403,KUYULUKOYAK RES,40W000000015403R,
15585,KUŞADASI RES,40W000000015585W,
15963,KÜPTEPE RES,40W000000015963Q,
11525,KÜREKDAĞI RES,40W000000011525X,
14303,KİRAZLI RES,40W100000014303N,
16823,MAHMUT ŞEVKET PAŞA-1 RES,40W0000000168230,
11524,MANASTIR-ESENKÖY RES,40W000000011524Z,
16543,MARMARA RES,40W0000000165436,
13423,MASLAKTEPE RES(ENİ),40W000000013423V,
15383,MERSİNLİ RES,40W0000000153837,
13944,MERYEM RES,40W0000000139443,
18803,METAFOR RES,40W000000018803X,
10163,MORDOĞAN RES(EGENDA),40W0000000101639,
14843,MUTLU RES 5,40W0000000148434,
17903,MİSKEVANK RES,40W000000017903Y,
16663,ORHANLI RES,40W000000016663X,
14923,OVACIK RES,40W0000000149236,
5003441,OVACIK RES,40W000005003441W,
10403,OVARES RES,40W000000010403F,
15583,PAMUKOVA RES,40W100000015583N,
15743,PAZARKÖY RES,40W0000000157433,
10962,PETKİM RES,40W000000010962G,
5611,POYRAZ RES,40W000000005611Q,
10063,POYRAZ RES(NM ENR.),40W000000010063D,
17483,RESPECT BİYOGAZ,40W000000017483U,
12384,SAKARBAYIR RES(ARI EN),40W000000012384K,
10062,SARITEPE RES,40W000000010062F,
15163,SAROS RES,40W000000015163L,
10589,SARPINCIK RES,40W000000010589C,
10524,SEFERİHİSAR RES,40W0000000105243,
3222,SEFERİHİSAR RES(ÜÇGEN),40W000000003222A,
15783,SELİMİYE RES,40W000000015783S,
15844,SERTAVUL RES,40W000000015844Y,
760,SOMA RES(SOMA ENR.),40W000000000760Y,
16123,SOĞANLI RES,40W000000016123S,
9583,SÖKE RES,40W000000009583M,
15663,SİBELRES RES,40W0000000156631,
13923,TATLIPINAR RES,40W000000013923B,
15843,TAYAKADIN RES,40W100000015843N,
16043,TAŞPINAR RES(GALATA WİND),40W000000016043Q,
11142,TİRE RES,40W000000011142C,
16623,ULU RES,40W0000000166238,
9921,ULUBORLU RES,40W000000009921S,
10081,URLA RES,40W000000010081B,
10563,URLA RES(HASSAS),40W000000010563U,
5005841,UYGAR RES,40W0000050058416,
14884,VİZE-2 RES,40W000000014884R,
10442,YAHYALI RES(BAK),40W0000000104425,
13863,YAHŞELLİ RES,40W0000000138633,
18726,YAKAAĞZI RES,40W000000018726P,
9582,YALOVA RES,40W000000009582O,
13323,YAMAÇTEPE-2 RES(SANCAK ENR.),40W000000013323Z,
9922,YAYLAKÖY RES,40W000000009922Q,
19164,YENİ RES,40W100000019164N,
12406,YENİHİSAR RES(YENİ ENR.),40W100000012406N,
16063,YENİKÖY RES(AYES),40W000000016063K,
15683,YENİKÖY RES(MUTLU),40W000000015683W,
15884,YILMAZ RES,40W000000015884M,
10241,ZELİHA RES,40W000000010241F,
16863,ZONGULDAK RES,40W000000016863P,
10141,ZİNCİRLİ RES,40W000000010141J,
13703,ÇAKIL RES,40W000000013703P,
15603,ÇAMINBAŞI RES,40W000000015603J,
17747,ÇANDARLI RES,40W000000017747M,
17749,ÇANDIR RES,40W000000017749I,
10041,ÇATALTEPE RES(SÜPER ELK.),40W000000010041N,
15625,ÇAYPINAR RES,40W0000000156259,
18003,ÇERKEŞ RES,40W000000018003S,
16065,ÖMERLİ RES(BETİM),40W000000016065G,
5003801,ÖRENLİK RES,40W000005003801S,
14723,ÖRLEMİŞ RES,40W000000014723E,
15986,ÖZBEK RES,40W000000015986E,
12663,ÜÇPINAR RES,40W000000012663G,
17763,İPEKTEPE RES,40W000000017763O,
16963,İSTANBUL RES,40W000000016963L,
16183,ŞAPDAĞI RES,40W000000016183A,
16704,ŞİLE RES,40W0000000167048,
