plant,prev,curr,drop,drop_pct
KIYIKÖY RES,92.86,16.06,76.8,82.70514753392203
KIYIKÖY RES,89.15,19.0,70.15,78.68760515984296
KIYIKÖY RES,83.67,16.21,67.46000000000001,80.62626986972631
KIYIKÖY RES,90.63,25.96,64.66999999999999,71.35606311375923
KIYIKÖY RES,87.48,23.35,64.13,73.30818472793781
KIYIKÖY RES,81.48,17.84,63.64,78.10505645557193
KIYIKÖY RES,83.3,23.44,59.86,71.8607442977191
KIYIKÖY RES,82.02,23.3,58.72,71.59229456230189
KIYIKÖY RES,66.34,11.25,55.09,83.04190533614712
BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),63.9,11.86,52.04,81.43974960876369
KUŞADASI RES,66.73,17.61,49.120000000000005,73.61007043308857
KIYIKÖY RES,55.48,8.58,46.9,84.534967555876
ATAKALE RES,92.47,46.06,46.41,50.1892505677517
KIYIKÖY RES,65.36,22.44,42.92,65.66707466340269
GÖKTEPE RES,61.0,19.0,42.0,68.85245901639344
AKYEL-1 RES,57.73,15.92,41.809999999999995,72.42335007794907
ATAKALE RES,59.44,18.21,41.23,69.36406460296097
ATAKALE RES,79.13,38.0,41.129999999999995,51.9777581195501
GÖKTEPE RES,73.0,33.0,40.0,54.794520547945204
AKYEL-1 RES,38.54,0.0,38.54,100.0
ATARES-1 RES,64.52,26.2,38.31999999999999,59.39243645381277
ATAKALE RES,55.3,17.69,37.61,68.0108499095841
GÜLPINAR RES,46.87,9.34,37.53,80.07254107104758
ATARES-2 RES,63.31,25.86,37.45,59.15337229505607
KIYIKÖY RES,49.44,12.84,36.599999999999994,74.02912621359222
GÖKTEPE RES,69.0,33.0,36.0,52.17391304347826
GÜLPINAR RES,65.61,30.16,35.45,54.031397652796834
ATARES-2 RES,60.87,26.19,34.67999999999999,56.973878758008865
CERİT RES_(PAKMEM),53.88,19.31,34.57000000000001,64.16109873793616
GÜLPINAR RES,51.01,17.21,33.8,66.2615173495393
KUŞADASI RES,57.61,23.98,33.629999999999995,58.37528206908522
ATARES-2 RES,50.15,16.79,33.36,66.52043868394816
KUŞADASI RES,56.56,23.32,33.24,58.76944837340877
ARDIÇLI RES(ES-YEL),35.96,3.72,32.24,89.65517241379311
ATARES-2 RES,64.09,31.96,32.13,50.132625994694955
KANDIRA RES,39.0,7.1,31.9,81.7948717948718
DEMİRCİLİ RES,40.0,8.37,31.630000000000003,79.075
MERSİNLİ RES,48.28,17.82,30.46,63.090306545153275
KUŞADASI RES,60.71,30.3,30.41,50.090594630209196
ATARES-2 RES,60.18,29.86,30.32,50.38218677301429
KIYIKÖY RES,56.03,27.39,28.64,51.11547385329288
BAĞLAMA RES,35.09,6.47,28.620000000000005,81.56169848959817
AİRRES-4 RES,42.81,14.2,28.610000000000003,66.83017986451763
ARDIÇLI RES(ES-YEL),38.57,10.07,28.5,73.89162561576354
ATARES-2 RES,49.54,21.49,28.05,56.620912394025034
EVRENCİK RES,41.65,14.28,27.369999999999997,65.71428571428571
BAĞLAMA RES,35.07,7.94,27.13,77.35956658112346
